specie	condition	value
sorgho	cond_A	12.8071
sorgho	cond_B	11.1581
sorgho	cond_C	0.7467
sorgho	cond_A	8.9512
sorgho	cond_B	4.8525
sorgho	cond_C	10.0527
sorgho	cond_A	3.7114
sorgho	cond_B	4.2195
sorgho	cond_C	3.6014
sorgho	cond_A	3.9413
sorgho	cond_B	17.7231
sorgho	cond_C	1.5379
sorgho	cond_A	3.5939
sorgho	cond_B	6.7494
sorgho	cond_C	4.0549
sorgho	cond_A	7.8764
sorgho	cond_B	8.8947
sorgho	cond_C	4.2113
sorgho	cond_A	4.153
sorgho	cond_B	9.9097
sorgho	cond_C	9.4397
sorgho	cond_A	12.7517
sorgho	cond_B	6.5487
sorgho	cond_C	5.3389
sorgho	cond_A	18.4004
sorgho	cond_B	9.5506
sorgho	cond_C	8.0162
sorgho	cond_A	4.8519
sorgho	cond_B	9.1069
sorgho	cond_C	3.0028
poacee	cond_A	13.151
poacee	cond_B	7.3539
poacee	cond_C	5.8578
poacee	cond_A	13.0762
poacee	cond_B	8.1959
poacee	cond_C	3.7013
poacee	cond_A	11.3288
poacee	cond_B	7.8978
poacee	cond_C	5.3783
poacee	cond_A	5.9665
poacee	cond_B	14.3854
poacee	cond_C	1.4185
poacee	cond_A	9.5222
poacee	cond_B	5.776
poacee	cond_A	8.8784
poacee	cond_B	4.712
poacee	cond_C	12.9889
poacee	cond_A	12.252
poacee	cond_B	8.1134
poacee	cond_C	7.4028
poacee	cond_A	8.5102
poacee	cond_B	8.9314
poacee	cond_A	13.9079
poacee	cond_B	9.3096
poacee	cond_C	2.5553
poacee	cond_A	8.5017
poacee	cond_B	6.6249
poacee	cond_C	0.2581
