item	set
G001	RNA
G002	RNA
G003	RNA
G004	RNA
G005	RNA
G006	RNA
G007	RNA
G008	RNA
G009	RNA
G010	RNA
G011	RNA
G012	RNA
G013	RNA
G014	RNA
G015	RNA
G016	RNA
G017	RNA
G018	RNA
G019	RNA
G020	RNA
G021	RNA
G022	RNA
G023	RNA
G024	RNA
G025	RNA
G026	RNA
G027	RNA
G028	RNA
G029	RNA
G030	RNA
G031	RNA
G032	RNA
G033	RNA
G034	RNA
G035	RNA
G036	RNA
G037	RNA
G038	RNA
G039	RNA
G040	RNA
G041	RNA
G042	RNA
G043	RNA
G044	RNA
G045	RNA
G046	RNA
G047	RNA
G048	RNA
G049	RNA
G050	RNA
G051	RNA
G052	RNA
G053	RNA
G054	RNA
G055	RNA
G056	RNA
G057	RNA
G058	RNA
G059	RNA
G060	RNA
G061	RNA
G062	RNA
G063	RNA
G064	RNA
G065	RNA
G066	RNA
G067	RNA
G068	RNA
G069	RNA
G070	RNA
G071	RNA
G072	RNA
G073	RNA
G074	RNA
G075	RNA
G076	RNA
G077	RNA
G078	RNA
G079	RNA
G080	RNA
G035	ATAC
G036	ATAC
G037	ATAC
G038	ATAC
G039	ATAC
G040	ATAC
G041	ATAC
G042	ATAC
G043	ATAC
G044	ATAC
G045	ATAC
G046	ATAC
G047	ATAC
G048	ATAC
G049	ATAC
G050	ATAC
G051	ATAC
G052	ATAC
G053	ATAC
G054	ATAC
G055	ATAC
G056	ATAC
G057	ATAC
G058	ATAC
G059	ATAC
G060	ATAC
G061	ATAC
G062	ATAC
G063	ATAC
G064	ATAC
G065	ATAC
G066	ATAC
G067	ATAC
G068	ATAC
G069	ATAC
G070	ATAC
G071	ATAC
G072	ATAC
G073	ATAC
G074	ATAC
G075	ATAC
G076	ATAC
G077	ATAC
G078	ATAC
G079	ATAC
G080	ATAC
G081	ATAC
G082	ATAC
G083	ATAC
G084	ATAC
G085	ATAC
G086	ATAC
G087	ATAC
G088	ATAC
G089	ATAC
G090	ATAC
G091	ATAC
G092	ATAC
G093	ATAC
G094	ATAC
G095	ATAC
G096	ATAC
G097	ATAC
G098	ATAC
G099	ATAC
G100	ATAC
G010	Protein
G011	Protein
G012	Protein
G013	Protein
G014	Protein
G015	Protein
G016	Protein
G017	Protein
G018	Protein
G019	Protein
G020	Protein
G021	Protein
G022	Protein
G023	Protein
G024	Protein
G025	Protein
G050	Protein
G051	Protein
G052	Protein
G053	Protein
G054	Protein
G055	Protein
G056	Protein
G057	Protein
G058	Protein
G059	Protein
G060	Protein
G061	Protein
G062	Protein
G063	Protein
G064	Protein
G065	Protein
G066	Protein
G067	Protein
G068	Protein
G069	Protein
G070	Protein
G071	Protein
G072	Protein
G073	Protein
G074	Protein
G075	Protein
G076	Protein
G077	Protein
G078	Protein
G079	Protein
G080	Protein
G081	Protein
G082	Protein
G083	Protein
G084	Protein
G085	Protein
G086	Protein
G087	Protein
G088	Protein
G089	Protein
G090	Protein
G120	Protein
G121	Protein
G122	Protein
G123	Protein
G124	Protein
G125	Protein
G126	Protein
G127	Protein
G128	Protein
G129	Protein
G130	Protein
G131	Protein
G132	Protein
G133	Protein
G134	Protein
G135	Protein
G136	Protein
G137	Protein
G138	Protein
G139	Protein
G140	Protein
G141	Protein
G142	Protein
G143	Protein
G144	Protein
G145	Protein
