Country	Income
China	985
Japan	1050
Russia	1430
United States	2128
China	985
Japan	1064
Russia	1447
United States	2283
China	985
Japan	1079
Russia	1464
United States	2242
China	986
Japan	1094
Russia	1562
United States	2552
China	986
Japan	1110
Russia	1666
United States	2792
China	985
Japan	1125
Russia	1778
United States	3059
China	1023
Japan	1168
Russia	1896
United States	3714
China	1099
Japan	1213
Russia	2023
United States	4058
China	1015
Japan	1395
Russia	2158
United States	5292
China	918
Japan	1606
Russia	2233
United States	5646
China	894
Japan	1840
Russia	3087
United States	6819
China	991
Japan	1998
Russia	3487
United States	8287
China	1012
Japan	2496
Russia	1489
United States	9181
China	1055
Japan	2592
Russia	3779
United States	10139
China	841
Japan	3888
Russia	5632
United States	11320
China	535
Japan	2549
Russia	7514
United States	15319
China	582
Japan	2728
Russia	7424
United States	16198
China	631
Japan	3015
Russia	7775
United States	16508
China	692
Japan	3168
Russia	7981
United States	16974
China	694
Japan	3280
Russia	8234
United States	16558
China	706
Japan	3464
Russia	8787
United States	17409
China	736
Japan	3646
Russia	9465
United States	17428
China	780
Japan	3843
Russia	9496
United States	17430
China	889
Japan	3996
Russia	10037
United States	16961
China	958
Japan	4288
Russia	9755
United States	17909
China	889
Japan	4756
Russia	10496
United States	18059
China	558
Japan	5276
Russia	10908
United States	18170
China	567
Japan	5686
Russia	11027
United States	18966
China	635
Japan	6106
Russia	10620
United States	19497
China	713
Japan	6741
Russia	11836
United States	20338
China	772
Japan	7048
Russia	12363
United States	21361
China	826
Japan	7724
Russia	12823
United States	22495
China	719
Japan	8454
Russia	13256
United States	22803
China	669
Japan	9439
Russia	13902
United States	23647
China	732
Japan	10548
Russia	13972
United States	24147
China	848
Japan	14203
Russia	14915
United States	23908
China	876
Japan	14673
Russia	15170
United States	24350
China	843
Japan	15694
Russia	15113
United States	25374
China	894
Japan	16731
Russia	16236
United States	26567
China	888
Japan	16320
Russia	16594
United States	26258
China	920
Japan	16632
Russia	16530
United States	25934
China	891
Japan	17117
Russia	17192
United States	27041
China	904
Japan	17705
Russia	17487
United States	27990
China	1016
Japan	18484
Russia	17818
United States	29281
China	1059
Japan	19346
Russia	17632
United States	29951
China	1073
Japan	19741
Russia	17557
United States	29619
China	1099
Japan	20413
Russia	17619
United States	30070
China	1175
Japan	20951
Russia	17951
United States	29230
China	1229
Japan	21446
Russia	18417
United States	30185
China	1456
Japan	22268
Russia	18527
United States	32110
China	1557
Japan	23554
Russia	18576
United States	33065
China	1604
Japan	24116
Russia	19221
United States	33899
China	1652
Japan	25018
Russia	19355
United States	34787
China	1597
Japan	26724
Russia	19660
United States	35929
China	1474
Japan	28077
Russia	19906
United States	36830
China	1516
Japan	29550
Russia	19349
United States	37062
China	1634
Japan	30437
Russia	18332
United States	36543
China	1845
Japan	30610
Russia	15661
United States	37321
China	2078
Japan	30587
Russia	14320
United States	37844
China	2323
Japan	30746
Russia	12535
United States	38892
China	2551
Japan	31224
Russia	12013
United States	39476
China	2775
Japan	31958
Russia	11597
United States	40501
China	3000
Japan	32391
Russia	11779
United States	41812
China	3205
Japan	31656
Russia	11173
United States	43166
China	3419
Japan	31535
Russia	11925
United States	44673
China	3678
Japan	32193
Russia	13173
United States	45986
China	3955
Japan	32230
Russia	13902
United States	45978
China	4285
Japan	32248
Russia	14629
United States	46367
China	4685
Japan	32721
Russia	15768
United States	47260
China	5127
Japan	33483
Russia	16967
United States	48597
China	5675
Japan	33916
Russia	18118
United States	49762
China	6360
Japan	34468
Russia	19660
United States	50599
China	7225
Japan	35183
Russia	21374
United States	51011
China	7880
Japan	34800
Russia	22506
United States	50384
China	8565
Japan	32880
Russia	20739
United States	48558
China	9430
Japan	34404
Russia	21664
United States	49373
China	10274
Japan	34316
Russia	22570
United States	49781
China	11017
Japan	34988
Russia	23299
United States	50549
China	11805
Japan	35614
Russia	23561
United States	51282
China	12609
Japan	35635
Russia	23293
United States	52118
China	13334
Japan	36162
Russia	23038
United States	53354
