type	exprs	group
BLCA	3.52782497660404	Normal
BLCA	2.89395867937652	Normal
BLCA	3.79795146279385	Normal
BLCA	3.82060184822162	Normal
BLCA	3.13986181241713	Normal
BLCA	4.35668092320751	Normal
BLCA	2.8482856008492	Normal
BLCA	3.5849854747297	Normal
BLCA	3.81916339283076	Tumor
BLCA	5.70881715631545	Tumor
BLCA	4.60439803481112	Tumor
BLCA	5.49992739035276	Tumor
BLCA	5.26417346452252	Tumor
BLCA	5.19671005487177	Tumor
BLCA	4.91699947785157	Tumor
BLCA	5.25548321074158	Tumor
BLCA	4.00925653927836	Tumor
BLCA	4.77822666052254	Tumor
BLCA	4.46626714274261	Tumor
BLCA	5.93435643226463	Tumor
BLCA	5.78571775505179	Tumor
BLCA	4.83033763582897	Tumor
BLCA	4.79115784347527	Tumor
BLCA	4.30357604157899	Tumor
BLCA	5.13115463204402	Tumor
BLCA	5.04894887479289	Tumor
BLCA	3.9150296292862	Tumor
BLCA	4.604751213007	Tumor
BLCA	6.0604851253334	Tumor
BLCA	4.69666482911644	Tumor
BLCA	3.96357062609575	Tumor
BLCA	5.24229541852781	Tumor
BRCA	2.52367765260898	Normal
BRCA	1.66386262193541	Normal
BRCA	3.0115442631968	Normal
BRCA	3.1049760595162	Normal
BRCA	2.79309531520429	Normal
BRCA	3.40866660904079	Normal
BRCA	2.59198917451394	Normal
BRCA	2.23912225497545	Normal
BRCA	3.22972674364485	Normal
BRCA	2.54541058250339	Normal
BRCA	3.78593252335275	Normal
BRCA	2.75438141796872	Normal
BRCA	3.65840084359786	Tumor
BRCA	3.42479501085908	Tumor
BRCA	2.65076006660005	Tumor
BRCA	4.3024565890707	Tumor
BRCA	3.64947683921843	Tumor
BRCA	3.26227977783604	Tumor
BRCA	3.39303284832034	Tumor
BRCA	3.674949496455	Tumor
BRCA	3.26233034582167	Tumor
BRCA	1.10428426700926	Tumor
BRCA	3.39886539268777	Tumor
BRCA	2.94238307529763	Tumor
BRCA	3.32910872062224	Tumor
BRCA	3.60672393437217	Tumor
BRCA	4.17926310432119	Tumor
BRCA	2.69034288358419	Tumor
BRCA	4.11122716764721	Tumor
BRCA	3.43454100904276	Tumor
