Country	Income	Year
China	894	19th
Japan	1840	19th
Russia	3087	19th
United States	6819	19th
China	991	19th
Japan	1998	19th
Russia	3487	19th
United States	8287	19th
China	1012	19th
Japan	2496	19th
Russia	1489	19th
United States	9181	19th
China	1055	19th
Japan	2592	19th
Russia	3779	19th
United States	10139	19th
China	841	19th
Japan	3888	19th
Russia	5632	19th
United States	11320	19th
China	535	19th
Japan	2549	19th
Russia	7514	19th
United States	15319	19th
China	582	19th
Japan	2728	19th
Russia	7424	19th
United States	16198	19th
China	631	19th
Japan	3015	19th
Russia	7775	19th
United States	16508	19th
China	692	19th
Japan	3168	19th
Russia	7981	19th
United States	16974	19th
China	694	19th
Japan	3280	19th
Russia	8234	19th
United States	16558	19th
China	706	19th
Japan	3464	19th
Russia	8787	19th
United States	17409	19th
China	736	19th
Japan	3646	19th
Russia	9465	19th
United States	17428	19th
China	780	19th
Japan	3843	19th
Russia	9496	19th
United States	17430	19th
China	889	19th
Japan	3996	19th
Russia	10037	19th
United States	16961	19th
China	958	19th
Japan	4288	19th
Russia	9755	19th
United States	17909	19th
China	889	19th
Japan	4756	19th
Russia	10496	19th
United States	18059	19th
China	558	19th
Japan	5276	19th
Russia	10908	19th
United States	18170	19th
China	567	19th
Japan	5686	19th
Russia	11027	19th
United States	18966	19th
China	635	19th
Japan	6106	19th
Russia	10620	19th
United States	19497	19th
China	713	19th
Japan	6741	19th
Russia	11836	19th
United States	20338	19th
China	772	19th
Japan	7048	19th
Russia	12363	19th
United States	21361	19th
China	826	19th
Japan	7724	19th
Russia	12823	19th
United States	22495	19th
China	719	19th
Japan	8454	19th
Russia	13256	19th
United States	22803	19th
China	669	19th
Japan	9439	19th
Russia	13902	19th
United States	23647	19th
China	732	19th
Japan	10548	19th
Russia	13972	19th
United States	24147	19th
China	848	19th
Japan	14203	19th
Russia	14915	19th
United States	23908	19th
China	876	19th
Japan	14673	19th
Russia	15170	19th
United States	24350	19th
China	843	19th
Japan	15694	19th
Russia	15113	19th
United States	25374	19th
China	894	19th
Japan	16731	19th
Russia	16236	19th
United States	26567	19th
China	888	19th
Japan	16320	19th
Russia	16594	19th
United States	26258	19th
China	920	19th
Japan	16632	19th
Russia	16530	19th
United States	25934	19th
China	891	19th
Japan	17117	19th
Russia	17192	19th
United States	27041	19th
China	904	19th
Japan	17705	19th
Russia	17487	19th
United States	27990	19th
China	1016	19th
Japan	18484	19th
Russia	17818	19th
United States	29281	19th
China	1059	19th
Japan	19346	19th
Russia	17632	19th
United States	29951	19th
China	1073	19th
Japan	19741	19th
Russia	17557	19th
United States	29619	19th
China	1099	19th
Japan	20413	19th
Russia	17619	19th
United States	30070	19th
China	1175	19th
Japan	20951	19th
Russia	17951	19th
United States	29230	19th
China	1229	19th
Japan	21446	19th
Russia	18417	19th
United States	30185	19th
China	1456	19th
Japan	22268	19th
Russia	18527	19th
United States	32110	19th
China	1557	19th
Japan	23554	19th
Russia	18576	19th
United States	33065	19th
China	1604	19th
Japan	24116	19th
Russia	19221	19th
United States	33899	19th
China	1652	19th
Japan	25018	19th
Russia	19355	19th
United States	34787	19th
China	1597	19th
Japan	26724	19th
Russia	19660	19th
United States	35929	19th
China	1474	19th
Japan	28077	19th
Russia	19906	19th
United States	36830	19th
China	1516	19th
Japan	29550	19th
Russia	19349	19th
United States	37062	19th
China	1634	19th
Japan	30437	19th
Russia	18332	19th
United States	36543	19th
China	1845	19th
Japan	30610	19th
Russia	15661	19th
United States	37321	19th
China	2078	19th
Japan	30587	19th
Russia	14320	19th
United States	37844	19th
China	2323	19th
Japan	30746	19th
Russia	12535	19th
United States	38892	19th
China	2551	19th
Japan	31224	19th
Russia	12013	19th
United States	39476	19th
China	2775	19th
Japan	31958	19th
Russia	11597	19th
United States	40501	19th
China	3000	19th
Japan	32391	19th
Russia	11779	19th
United States	41812	19th
China	3205	19th
Japan	31656	19th
Russia	11173	19th
United States	43166	19th
China	3419	19th
Japan	31535	19th
Russia	11925	19th
United States	44673	19th
China	3678	20th
Japan	32193	20th
Russia	13173	20th
United States	45986	20th
China	3955	20th
Japan	32230	20th
Russia	13902	20th
United States	45978	20th
China	4285	20th
Japan	32248	20th
Russia	14629	20th
United States	46367	20th
China	4685	20th
Japan	32721	20th
Russia	15768	20th
United States	47260	20th
China	5127	20th
Japan	33483	20th
Russia	16967	20th
United States	48597	20th
China	5675	20th
Japan	33916	20th
Russia	18118	20th
United States	49762	20th
China	6360	20th
Japan	34468	20th
Russia	19660	20th
United States	50599	20th
China	7225	20th
Japan	35183	20th
Russia	21374	20th
United States	51011	20th
China	7880	20th
Japan	34800	20th
Russia	22506	20th
United States	50384	20th
China	8565	20th
Japan	32880	20th
Russia	20739	20th
United States	48558	20th
China	9430	20th
Japan	34404	20th
Russia	21664	20th
United States	49373	20th
China	10274	20th
Japan	34316	20th
Russia	22570	20th
United States	49781	20th
China	11017	20th
Japan	34988	20th
Russia	23299	20th
United States	50549	20th
China	11805	20th
Japan	35614	20th
Russia	23561	20th
United States	51282	20th
China	12609	20th
Japan	35635	20th
Russia	23293	20th
United States	52118	20th
China	13334	20th
Japan	36162	20th
Russia	23038	20th
United States	53354	20th
