id	name	symbolSize	x	y	value	category
0	Myriel	19.12381	-266.82776	299.6904	28.685715	0
1	Napoleon	2.66666666666667	-418.08344	446.8853	4	0
2	MlleBaptistine	6.32380933333333	-212.76357	245.29176	9.485714	1
3	MmeMagloire	6.32380933333333	-242.82404	235.26283	9.485714	1
4	CountessDeLo	2.66666666666667	-379.30386	429.06424	4	0
5	Geborand	2.66666666666667	-417.26337	406.03506	4	0
6	Champtercier	2.66666666666667	-332.6012	485.16974	4	0
7	Cravatte	2.66666666666667	-382.69568	475.09113	4	0
8	Count	2.66666666666667	-320.384	387.17325	4	0
9	OldMan	2.66666666666667	-344.39832	451.16772	4	0
10	Labarre	2.66666666666667	-89.34107	234.56128	4	1
11	Valjean	66.6666666666667	-87.93029	-6.8120565	100	1
12	Marguerite	4.49523933333333	-339.77908	-184.69139	6.742859	1
13	MmeDeR	2.66666666666667	-194.31313	178.55301	4	1
14	Isabeau	2.66666666666667	-158.05168	201.99768	4	1
15	Gervais	2.66666666666667	-127.701546	242.55057	4	1
16	Tholomyes	17.2952373333333	-385.2226	-393.5572	25.942856	2
17	Listolier	13.6380973333333	-516.55884	-393.98975	20.457146	2
18	Fameuil	13.6380973333333	-464.79382	-493.57944	20.457146	2
19	Blacheville	13.6380973333333	-515.1624	-456.9891	20.457146	2
20	Favourite	13.6380973333333	-408.12122	-464.5048	20.457146	2
21	Dahlia	13.6380973333333	-456.44113	-425.13303	20.457146	2
22	Zephine	13.6380973333333	-459.1107	-362.5133	20.457146	2
23	Fantine	28.2666666666667	-313.42786	-289.44803	42.4	2
24	MmeThenardier	20.9523826666667	4.6313396	-273.8517	31.428574	7
25	Thenardier	30.0952353333333	82.80825	-203.1144	45.142853	7
26	Cosette	20.9523826666667	78.64646	-31.512747	31.428574	6
27	Javert	31.9238066666667	-81.46074	-204.20204	47.88571	7
28	Fauchelevent	8.152382	-225.73984	82.41631	12.228573	4
29	Bamatabois	15.4666666666667	-385.6842	-20.206686	23.2	3
30	Perpetue	4.49523933333333	-403.92447	-197.69823	6.742859	2
31	Simplice	8.152382	-281.4253	-158.45137	12.228573	2
32	Scaufflaire	2.66666666666667	-122.41348	210.37503	4	1
33	Woman1	4.49523933333333	-234.6001	-113.15067	6.742859	1
34	Judge	11.8095246666667	-387.84915	58.7059	17.714287	3
35	Champmathieu	11.8095246666667	-338.2307	87.48405	17.714287	3
36	Brevet	11.8095246666667	-453.26874	58.94648	17.714287	3
37	Chenildieu	11.8095246666667	-386.44904	140.05937	17.714287	3
38	Cochepaille	11.8095246666667	-446.7876	123.38005	17.714287	3
39	Pontmercy	6.32380933333333	336.49738	-269.55914	9.485714	6
40	Boulatruelle	2.66666666666667	29.187843	-460.13132	4	7
41	Eponine	20.9523826666667	238.36697	-210.00926	31.428574	7
42	Anzelma	6.32380933333333	189.69513	-346.50662	9.485714	7
43	Woman2	6.32380933333333	-187.00418	-145.02663	9.485714	6
44	MotherInnocent	4.49523933333333	-252.99521	129.87549	6.742859	4
45	Gribier	2.66666666666667	-296.07935	163.11964	4	4
46	Jondrette	2.66666666666667	550.3201	522.4031	4	5
47	MmeBurgon	4.49523933333333	488.13535	356.8573	6.742859	5
48	Gavroche	41.0666706666667	387.89572	110.462326	61.600006	8
49	Gillenormand	13.6380973333333	126.4831	68.10622	20.457146	6
50	Magnon	4.49523933333333	127.07365	-113.05923	6.742859	6
51	MlleGillenormand	13.6380973333333	162.63559	117.6565	20.457146	6
52	MmePontmercy	4.49523933333333	353.66415	-205.89165	6.742859	6
53	MlleVaubois	2.66666666666667	165.43939	339.7736	4	6
54	LtGillenormand	8.152382	137.69348	196.1069	12.228573	6
55	Marius	35.5809533333333	206.44687	-13.805411	53.37143	6
56	BaronessT	4.49523933333333	194.82993	224.78036	6.742859	6
57	Mabeuf	20.9523826666667	597.6618	135.18481	31.428574	8
58	Enjolras	28.2666666666667	355.78366	-74.882454	42.4	8
59	Combeferre	20.9523826666667	515.2961	-46.167564	31.428574	8
60	Prouvaire	17.2952373333333	614.29285	-69.3104	25.942856	8
61	Feuilly	20.9523826666667	550.1917	-128.17537	31.428574	8
62	Courfeyrac	24.6095266666667	436.17184	-12.7286825	36.91429	8
63	Bahorel	22.7809533333333	602.55225	16.421427	34.17143	8
64	Bossuet	24.6095266666667	455.81955	-115.45826	36.91429	8
65	Joly	22.7809533333333	516.40784	47.242233	34.17143	8
66	Grantaire	19.12381	646.4313	-151.06331	28.685715	8
67	MotherPlutarch	2.66666666666667	668.9568	204.65488	4	8
68	Gueulemer	19.12381	78.4799	-347.15146	28.685715	7
69	Babet	19.12381	150.35959	-298.50797	28.685715	7
70	Claquesous	19.12381	137.3717	-410.2809	28.685715	7
71	Montparnasse	17.2952373333333	234.87747	-400.85983	25.942856	7
72	Toussaint	6.32380933333333	40.942253	113.78272	9.485714	1
73	Child1	4.49523933333333	437.939	291.58234	6.742859	8
74	Child2	4.49523933333333	466.04922	283.3606	6.742859	8
75	Brujon	13.6380973333333	238.79364	-314.06345	20.457146	7
76	MmeHucheloup	13.6380973333333	712.18353	4.8131495	20.457146	8
