Gene	Group	qval	Left_atrium	Right_atrium	Outflow_tract	Right_ventricle	Left_ventricle
NKX2-5	Divergence	9e-04	0.4476	0.2049	0.263	0.2358	0.4618
HAND2	Divergence	0.0016	0.5	0.4695	0.4399	0.4343	0.3518
GATA4	Divergence	0.0025	0.1598	0.1848	0.2017	0.022	0.2833
MEF2C	Divergence	0.0026	0.0925	0.2462	0.1957	0.424	0.1023
PITX2	Divergence	0.0027	0.4778	0.4337	0.465	0.3938	0.2016
HEY2	Divergence	0.0059	0.1928	0.0296	0.4104	0.4533	0.1124
NR2F2	Divergence	0.0066	0.2638	0.167	0.1123	0.1302	0.3985
BMP10	Divergence	0.0088	0.2503	0.0719	0.4675	0.3673	0.3321
NKX2-5	Curl	0.0029	0.4444	0.4123	0.3186	0.1163	0.4608
HAND2	Curl	0.003	0.4672	0.138	0.4041	0.2205	0.4307
TBX5	Curl	0.0146	0.402	0.2807	0.1148	0.03	0.213
ISL1	Curl	0.0193	0.1546	0.171	0.0758	0.2845	0.1198
FGF8	Curl	0.103	0.1544	0.2558	0.315	0.1258	0.0934
SHH	Curl	0.1113	0.2015	0.3855	0.4794	0.217	0.4617
SNAI1	Curl	0.1252	0.2099	0.0918	0.2671	0.3186	0.064
TWIST1	Curl	0.1765	0.0514	0.1077	0.1909	0.0697	0.3547
NKX2-5	Acceleration	0.0019	0.2298	0.2937	0.3009	0.1477	0.3454
GATA4	Acceleration	0.0025	0.4366	0.2736	0.4114	0.0583	0.0532
TBX5	Acceleration	0.0029	0.3448	0.3183	0.0727	0.1105	0.453
WNT11	Acceleration	0.0038	0.2891	0.1898	0.4302	0.3683	0.1205
RHOA	Acceleration	0.0039	0.265	0.4741	0.3324	0.2052	0.2953
ROCK2	Acceleration	0.0159	0.1767	0.0336	0.2822	0.3664	0.0468
MYH6	Acceleration	0.0428	0.0992	0.427	0.3133	0.4515	0.0314
TTN	Acceleration	0.145	0.1496	0.0786	0.1542	0.3838	0.1713
