sample	TCGA-DD-A3A2	TCGA-DD-A39Z	TCGA-FV-A3I0	TCGA-DD-A39X	TCGA-BC-A10U	TCGA-5R-AA1C	TCGA-ED-A66Y	TCGA-DD-AAEI	TCGA-ED-A8O5	TCGA-DD-AACH
YAP1	2.0459	2.2483	2.733	2.2839	3.2591	3.5278	4.4178	2.664	4.0921	3.624
WWTR1	1.6907	1.4233	2.1989	1.7649	2.8865	3.3939	2.895	1.1903	1.9787	2.4678
TEAD1	1.7479	1.4397	2.5218	1.9216	2.9212	2.986	3.0577	1.8161	2.4443	3.0068
TEAD2	0.9541	0.9217	0.7404	1.2849	1.5434	2.4374	3.4145	1.116	3.2725	4.7664
TEAD3	1.7889	1.9619	2.3207	1.6849	2.7553	2.9906	3.8502	2.0837	3.8324	3.8546
TEAD4	0.4479	0.3976	1.1482	0.4413	2.0047	0.1989	1.9099	0.7465	1.0952	1.063
SMAD1	1.2331	1.495	1.8644	1.4205	2.1757	1.8151	1.4366	1.4673	1.051	2.0273
SMAD2	0.6179	0.5149	0.4908	0.6288	0.6732	1.4779	1.4712	0.6863	1.4386	1.8085
SMAD3	1.8922	1.6318	2.1511	1.8925	2.4747	2.8478	3.4732	1.8557	3.0729	2.6632
SMAD4	1.9417	1.7115	1.8888	1.8428	2.0344	2.2738	2.6068	1.7556	3.2644	2.814
ABCC1	0.3818	0.3219	0.3994	0.3061	1.0325	1.9928	2.1521	1.4035	0.4984	2.8809
ACACA	0.933	0.8148	0.8597	1.6198	0.9133	1.9578	2.4381	1.5459	1.4801	2.6129
ACO1	4.4971	4.0028	4.7822	4.4905	4.5293	4.2799	3.9187	4.6179	3.6862	5.0394
ACSF2	2.7189	2.9229	3.3983	3.1543	2.91	3.5745	2.8932	3.0416	2.9282	3.8889
ACSL3	2.2744	2.7236	3.07	2.898	3.3302	3.8682	3.7188	2.8622	3.5177	4.3614
ACSL4	1.3211	1.2629	1.1418	1.5834	2.4241	1.0403	6.2862	2.1569	5.9139	5.0536
ALOX15	0.0138	0.0156	0.0082	0.0128	0.023	0.0203	0.0642	0.1027	0.0239	0.0616
CARS1	1.2686	1.7597	1.8587	1.8322	1.7776	1.7191	2.2547	1.5764	1.9208	3.4687
CBS	1.1649	0.771	1.2384	1.4817	0.5559	0.173	0.5207	1.5975	1.6256	1.763
CDKN1A	4.7487	3.4831	6.8972	3.4393	7.2189	6.2522	6.0189	3.2654	3.3799	6.6664
CHAC1	2.5993	1.5426	0.8451	1.1791	0.6333	0.5311	1.6439	0.1262	0.9273	1.9382
CISD1	2.7901	3.2167	2.7282	2.7181	3.1377	3.6637	2.3824	3.4177	3.1884	2.9515
CS	2.3105	2.1834	2.3474	2.3658	2.3725	4.088	4.0254	3.4519	4.6149	3.7672
DPP4	2.0554	1.0377	1.9067	1.8158	1.8301	4.9445	1.6254	3.2514	3.3332	3.2575
EMC2	2.036	1.7866	1.7806	2.083	1.8454	3.3811	2.847	2.6676	3.044	3.4009
FADS2	2.3143	3.0686	3.4048	3.4615	2.3092	1.9933	0.7769	5.2826	2.0707	3.471
