gene	group
YAP1	Hippo
WWTR1	Hippo
TEAD1	Hippo
TEAD2	Hippo
TEAD3	Hippo
TEAD4	Hippo
SMAD1	Hippo
SMAD2	Hippo
SMAD3	Hippo
SMAD4	Hippo
ABCC1	Ferroptosis
ACACA	Ferroptosis
ACO1	Ferroptosis
ACSF2	Ferroptosis
ACSL3	Ferroptosis
ACSL4	Ferroptosis
ALOX15	Ferroptosis
CARS1	Ferroptosis
CBS	Ferroptosis
CDKN1A	Ferroptosis
CHAC1	Ferroptosis
CISD1	Ferroptosis
CS	Ferroptosis
DPP4	Ferroptosis
EMC2	Ferroptosis
FADS2	Ferroptosis
FANCD2	Ferroptosis
FDFT1	Ferroptosis
FTH1	Ferroptosis
FTL	Ferroptosis
G6PD	Ferroptosis
GCLC	Ferroptosis
GLS2	Ferroptosis
GOT1	Ferroptosis
GPX4	Ferroptosis
HMGCR	Ferroptosis
HMOX1	Ferroptosis
HSBP1	Ferroptosis
HSPA5	Ferroptosis
HSPB1	Ferroptosis
IREB2	Ferroptosis
KEAP1	Ferroptosis
LOX	Ferroptosis
LPCAT3	Ferroptosis
MT1G	Ferroptosis
NCOA4	Ferroptosis
NFE2L2	Ferroptosis
NFS1	Ferroptosis
NOX1	Ferroptosis
NOX4	Ferroptosis
NQO1	Ferroptosis
PEBP1	Ferroptosis
PGD	Ferroptosis
PHKG2	Ferroptosis
PTGS2	Ferroptosis
RPL8	Ferroptosis
SAT1	Ferroptosis
SLC1A5	Ferroptosis
SLC40A1	Ferroptosis
SLC7A11	Ferroptosis
SQLE	Ferroptosis
STEAP3	Ferroptosis
TF	Ferroptosis
TFRC	Ferroptosis
ZEB1	Ferroptosis
