cell_type	F30	F3	F9	F27	F4	F12	F14	F10	F1	F21	F7	F8	F19	F25	F18	F6	F5	F2	F16	F11	F22
Macrophages	-0.0133354283681545	-0.129331770163774	-0.00156775512609241	0.280312107402406	0.355781914394492	-0.0548831870231184	0.036979590585049	0.392757105123412	-0.0832294313463468	-0.074383905781106	0.065235284619962	0.439695913516992	0.0340934606993234	0.043445575354018	-0.0616599301644219	0.119636171854495	-0.0847185138703054	0.0123297498866127	0.441480544742467	0.050772352478936	0.347258956156636
Ciliated cells	0.414980210679825	0.492360314242513	-0.337745117807125	0.059359948728304	-0.00717736249761067	0.385196072826434	-0.268543613372099	0.128023652822379	0.421120983146528	0.364608626975137	0.49389771104248	0.0568445524366718	-0.167574670984176	-0.201692693871742	0.432764661020025	-0.132537147952788	0.34878400245476	-0.249921105269027	-0.0132195928508315	-0.237352434519908	0.0480994714421677
Club cells	0.357022936361907	0.302914112834874	-0.276417511172253	-0.0182176531664319	0.077240695768726	0.356073056235527	-0.176190057440034	0.0875599397511693	0.330646813293765	0.41296251118997	0.378913723208809	0.0311350563046278	-0.309331715816398	-0.234962925977458	0.450344156248213	-0.171939156001465	0.44826869142091	-0.246272228770293	0.0897388928666976	-0.260324256189686	0.105276833748062
Smooth muscle	-0.174772352108195	-0.203219754242768	0.472566727400387	-0.319575179717014	-0.302844268776807	-0.199726139235535	0.324072570203848	-0.194037813454558	-0.253793255390976	-0.105286539030982	-0.132597261913305	-0.390416651756507	0.239739591301531	0.316049631082854	-0.25283978556018	0.395040401160796	-0.0914792405650324	0.249665150665296	-0.396879624670181	0.469513327762802	-0.186088953645983
Mast cells	-0.0992869998441704	-0.0601816869310648	0.116933754996913	0.407064232839271	0.427729060277369	-0.0524649756801017	0.123548740923407	0.493267251837802	-0.130512059749032	-0.100546580393985	-0.087094636659859	0.48984822494317	0.109447502165371	0.06970345074934	-0.0992306383364858	0.103744613134195	-0.0432858637677326	0.0726264814196541	0.383539097189728	0.0857320990776954	0.485012348906122
Venous ECs	0.342960374873422	0.438001106246559	-0.208112351345065	-0.0455267113695771	0.00689665980302116	0.289926183435368	-0.13432531617325	0.0966990667303422	0.438988805817854	0.348076688549759	0.414772612303835	0.0487720688056974	-0.230439014581694	-0.0991058197099464	0.436640064732095	-0.282390738383228	0.485536470760814	-0.271060043566061	0.0352765538726464	-0.233522103260677	-0.034036701868906
NK cells	-0.103958314871136	-0.0592230907238662	0.0820981001370216	0.370733849341028	0.386207202030928	-0.0359584738404143	-0.0572813760209098	0.465999204029278	0.0189094375081411	-0.165468196144321	-0.170008042443964	0.421408998192226	0.14024155909078	0.00140480572661985	-0.137774052163733	-0.0269004229307629	-0.141776158673597	0.0240190164419268	0.43101447902223	0.0893880013086433	0.332947260520027
Fibroblasts	-0.100983440781319	-0.173161982446035	0.264598475525422	-0.360016581929992	-0.332649809407972	-0.198512645365923	0.345674906532262	-0.318105907122844	-0.179750171629738	-0.0980868313913083	-0.184152240105889	-0.30654584308537	0.256614010709175	0.428258915667367	-0.0968024250309185	0.335866849916993	-0.253536152557105	0.345212984065436	-0.210078192575113	0.400893525238643	-0.281894409083024
Basal cells	0.398908579426099	0.426178413905697	-0.234885075860185	0.00755051322214088	-0.000366979447170873	0.383343698210247	-0.241776213445911	0.155419576419651	0.353992237878303	0.351012499349898	0.471519214455012	-0.107062331576044	-0.109284568283418	-0.248133828818756	0.328787648501968	-0.235962306985136	0.391507888844635	-0.143345767103951	0.103273041548965	-0.215736753898306	0.0453531164818296
Lymphatic ECs	-0.328208356441138	-0.109366489476751	0.34147320933504	-0.30031471924814	-0.341157661296223	-0.09163505968458	0.402171544886565	-0.260597244735619	-0.31259442477254	-0.137008643085603	-0.189594468547831	-0.309622759398545	0.40773649727789	0.294739266777452	-0.219525129003501	0.337546176875378	-0.182227142691148	0.332190826851109	-0.304426639890989	0.386785050435043	-0.416260675980938
T cells	-0.250056282281557	-0.153645081810019	0.321845305392633	-0.301458852674561	-0.243398246512362	-0.152226813609922	0.353703726918524	-0.268253783141182	-0.223112648503331	-0.193229534446873	-0.222465064291647	-0.326598607830258	0.339703656755365	0.335403509185157	-0.114223925416384	0.405484241553188	-0.125466111144455	0.384842116315444	-0.116090439006507	0.358641964922273	-0.310361283621412
Myofibroblasts	-0.173346301557086	-0.08279371077518	0.391637709685499	-0.169236653645193	-0.209254390551084	-0.242445230335544	0.401515115955572	-0.212006002155545	-0.150855038226668	-0.11506260967367	-0.325543512843575	-0.243483131513692	0.374990650595254	0.387699056074199	-0.18546035745223	0.421198457055103	-0.155641836503776	0.337170424988764	-0.324458917742499	0.390333823781133	-0.213655806652011
AT2	0.366098276417016	0.340216159148525	-0.114876529847907	-0.0221625175781502	0.0728668169421985	0.387815082956518	-0.252866281095599	0.0779098214554189	0.35567655565416	0.422973193651472	0.340130103765976	0.121952143523055	-0.205564717710997	-0.217042328007754	0.321607822322717	-0.286237266940314	0.5	-0.271511542478673	0.066873333602931	-0.232002668908346	0.183827536975081
Arterial ECs	0.408150021997353	0.336738994609492	-0.233955146095875	0.0153612619585502	0.102726034392542	0.380235063779832	-0.245695411466825	0.0765583811845659	0.5	0.374938417697172	0.332505240455149	0.127898632212407	-0.224637781254883	-0.384277306478014	0.292271424710583	-0.19333051810132	0.31442293902445	-0.197930390756801	-0.0259397545904772	-0.302722174211622	0.0601381592994658
AT1	0.425032794746197	0.5	-0.197826593310707	0.0014926193520513	0.072965091942951	0.358400087368432	-0.274825860964803	-0.0711629016639048	0.410935128592148	0.383986675287186	0.357599655306442	0.071702665657987	-0.28061983236248	-0.157056447681629	0.413351468809346	-0.218113587309795	0.455585297874853	-0.239014884718813	0.0556022817889704	-0.209913291607864	0.00081820846779259
Monocytes	-0.0650599468746309	-0.0354232971428436	-0.00511106012294586	0.452933608838585	0.36394881320076	-0.141794182053867	0.049188405016595	0.410479068046937	-0.083615277608549	-0.0351722299016466	-0.109372969164919	0.379839857436796	0.0691370328559401	0.014995162532138	-0.0562659000034195	-0.122464448273074	-0.0357053967768575	0.0432365968743027	0.394553804382573	0.0840307681654689	0.414019721768166
Dendritic cells	-0.0624638794426584	-0.0502794626248022	0.0274509042797889	0.485205922867129	0.45528285114235	-0.00717534247408214	0.0919389682038154	0.410696828097248	-0.0951001432226523	-0.0593764208938327	-0.110134830314571	0.322824038674453	0.0329609306464829	-0.0389031440161233	-0.0686626564886977	0.192010548763186	-0.0633176502699591	0.055686261694584	0.5	0.124428283912367	0.345455924967006
Neutrophils	-0.0970046708890674	0.00717388951308895	-0.0780837775269665	0.36243072329824	0.230780014905202	-0.160706570253792	0.0647622463184805	0.444679999928626	-0.192128764905554	-0.180850104457223	-0.111666908855607	0.418612599407754	0.011896894367974	0.0997384348281862	0.055819270978497	0.0776935726254885	-0.0104463748390752	0.04385805191836	0.3258719229944	0.112843742450059	0.410837293409306
SCGB3A2+ cells	0.426735349099365	0.347223305611631	-0.160686578218618	0.0451899738308685	-0.0075558226454988	0.36236195237779	-0.203837071637053	-0.0723106234217511	0.366436749067361	0.431651603213178	0.391258816472739	0.127245522898756	-0.261166783879613	-0.237788593985623	0.381681337326394	-0.153261964624321	0.30736277567346	-0.218677922285612	0.0799731250611792	-0.237567161286235	0.0582110947322714
Plasma cells	-0.0488140708351627	-0.0671449218799233	0.0845885111885332	0.33729611183141	0.398947170241529	-0.0903373580388466	0.0457300137124046	0.324359051897818	0.0448001174734404	-0.0791610874042706	-0.160764637797422	0.349728003319337	0.0773487833250708	0.0336737082878664	-0.059714935549855	0.0738832637748088	-0.0971410033578611	-4.12336020181592e-05	0.493449118678179	0.0112194488154414	0.419964802395181
B cells	-0.152409172840031	-0.177648788247905	0.340985659473252	-0.29462961767159	-0.310088469310376	-0.177174204352036	0.423095563253853	-0.299425316253207	-0.16787199143593	-0.174794491846946	-0.225518629794245	-0.204176831441197	0.427620968291503	0.464230825694104	-0.111218410774059	0.305420978353367	-0.173864524245184	0.255928203976211	-0.327562298970763	0.348620840451827	-0.226913733592643
Ionocytes	0.404900378935305	0.437199030876366	-0.330308162591461	0.094622631354253	0.101140654046819	0.477448940919426	-0.31567906187265	0.0649513379431531	0.46938279926543	0.471224146954073	0.460130363886569	0.0132169415915455	-0.150658064148483	-0.202258002832823	0.279782798815259	-0.179749604011267	0.418608692605408	-0.28013707353828	-0.0431541456780509	-0.225295400811458	-0.102132307565135
Pericytes	-0.147875356136563	-0.207576898001066	0.367035105422907	-0.310783788700561	-0.29474317593096	-0.138144431417055	0.386816608529437	-0.314425617250118	-0.219633639247533	-0.104603571614105	-0.0989736411339441	-0.265251746191412	0.395843237243122	0.5	-0.174851917830949	0.385992813833681	-0.133454911595766	0.423572552355879	-0.300068752600078	0.292149367326105	-0.28247916358562
Mesothelial cells	-0.229454523990591	-0.193075889263201	0.429626832053755	-0.30808341054965	-0.327483287106748	-0.0319087685720689	0.407344167046806	-0.223015911034593	-0.160156760940467	-0.192422430151626	-0.246973653055832	-0.323474546309925	0.44493349847226	0.369602736181804	-0.172419068354069	0.341022471954688	-0.136000529581011	0.387064982566954	-0.315962885697107	0.291598017180276	-0.225023111230212
