cancer	cell	rho	p
ACC	B cells memory	0.476	0.005
BLCA	B cells memory	0.566	0.009
BRCA	B cells memory	0.59	0.013
CESC	B cells memory	0.544	0.017
CHOL	B cells memory	0.433	0.021
CRC	B cells memory	0.273	0.025
DLBC	B cells memory	0.085	0.26
ESCA	B cells memory	-0.102	0.28
GBM	B cells memory	-0.264	0.001
HNSC	B cells memory	-0.378	0.005
KICH	B cells memory	-0.431	0.009
KIRC	B cells memory	-0.42	0.013
KIRP	B cells memory	-0.351	0.017
LAML	B cells memory	-0.241	0.021
LGG	B cells memory	-0.112	0.18
LIHC	B cells memory	0.012	0.2
LUAD	B cells memory	0.107	0.22
LUSC	B cells memory	0.156	0.24
MESO	B cells memory	0.151	0.26
OV	B cells memory	0.093	0.28
PAAD	B cells memory	-0.007	0.3
PCPG	B cells memory	-0.13	0.08
PRAD	B cells memory	-0.251	0.021
SARC	B cells memory	-0.348	0.025
SKCM	B cells memory	-0.398	0.029
STAD	B cells memory	-0.389	0.033
TGCT	B cells memory	-0.317	0.001
THCA	B cells memory	-0.188	0.2
THYM	B cells memory	-0.018	0.22
UCEC	B cells memory	0.169	0.24
UCS	B cells memory	0.347	0.017
UVM	B cells memory	0.49	0.021
ACC	B cells naive	0.54	0.009
BLCA	B cells naive	0.596	0.017
BRCA	B cells naive	0.581	0.025
CESC	B cells naive	0.498	0.033
CHOL	B cells naive	0.361	0.005
CRC	B cells naive	0.19	0.28
DLBC	B cells naive	0.011	0.3
ESCA	B cells naive	-0.15	0.08
GBM	B cells naive	-0.269	0.001
HNSC	B cells naive	-0.334	0.009
KICH	B cells naive	-0.336	0.017
KIRC	B cells naive	-0.283	0.025
KIRP	B cells naive	-0.187	0.18
LAML	B cells naive	-0.071	0.2
LGG	B cells naive	0.043	0.22
LIHC	B cells naive	0.13	0.24
LUAD	B cells naive	0.173	0.26
LUSC	B cells naive	0.161	0.28
MESO	B cells naive	0.095	0.3
OV	B cells naive	-0.015	0.08
PAAD	B cells naive	-0.151	0.1
PCPG	B cells naive	-0.289	0.033
PRAD	B cells naive	-0.404	0.005
SARC	B cells naive	-0.475	0.013
SKCM	B cells naive	-0.485	0.021
STAD	B cells naive	-0.428	0.029
TGCT	B cells naive	-0.309	0.001
THCA	B cells naive	-0.142	0.24
THYM	B cells naive	0.05	0.26
UCEC	B cells naive	0.241	0.025
UCS	B cells naive	0.405	0.033
UVM	B cells naive	0.518	0.005
ACC	Dendritic cells activated	0.554	0.013
BLCA	Dendritic cells activated	0.569	0.025
BRCA	Dendritic cells activated	0.516	0.001
CESC	Dendritic cells activated	0.406	0.013
CHOL	Dendritic cells activated	0.256	0.025
CRC	Dendritic cells activated	0.093	0.08
DLBC	Dendritic cells activated	-0.059	0.1
ESCA	Dendritic cells activated	-0.177	0.12
GBM	Dendritic cells activated	-0.243	0.001
HNSC	Dendritic cells activated	-0.251	0.013
KICH	Dendritic cells activated	-0.205	0.18
KIRC	Dendritic cells activated	-0.116	0.2
KIRP	Dendritic cells activated	-0.006	0.22
LAML	Dendritic cells activated	0.104	0.24
LGG	Dendritic cells activated	0.188	0.26
LIHC	Dendritic cells activated	0.228	0.013
LUAD	Dendritic cells activated	0.213	0.3
LUSC	Dendritic cells activated	0.141	0.08
MESO	Dendritic cells activated	0.021	0.1
OV	Dendritic cells activated	-0.129	0.12
PAAD	Dendritic cells activated	-0.286	0.001
PCPG	Dendritic cells activated	-0.424	0.013
PRAD	Dendritic cells activated	-0.52	0.025
