x	y	rho	p
A1	A1	1	0
A2	A1	0.696622889305816	1.47631735809238e-06
A3	A1	0.679174484052533	2.9718840403714e-06
A4	A1	0.674296435272045	3.62011842959232e-06
A5	A1	0.623452157598499	2.62063497993429e-05
A6	A1	0.662101313320826	5.91564022370365e-06
B1	A1	0.127392120075047	0.432041902087592
B2	A1	0.0613508442776736	0.706019835970426
B3	A1	-0.0195121951219512	0.904879928814726
C1	A1	0.592870544090056	7.67608124758628e-05
C2	A1	0.56829268292683	0.000170155264585531
C3	A1	0.372045028142589	0.0186360473347286
C4	A1	0.0574108818011257	0.724152253958549
C5	A1	0.225891181988743	0.160625749968129
C6	A1	0.194183864915572	0.229032928664787
A1	A2	0.696622889305816	1.47631735809238e-06
A2	A2	1	0
A3	A2	0.803189493433396	2.98086604323605e-08
A4	A2	0.816135084427767	8.45120174064631e-09
A5	A2	0.774484052532833	1.05815172735314e-07
A6	A2	0.750656660412758	2.23961458779443e-07
B1	A2	0.049718574108818	0.759981696947701
B2	A2	0.0816135084427768	0.615491488396769
B3	A2	-0.0485928705440901	0.765269277076054
C1	A2	0.356472795497186	0.0245260070058839
C2	A2	0.545215759849906	0.000341439888840548
C3	A2	0.436960600375235	0.00517863755760605
C4	A2	0.0127579737335835	0.937882870879953
C5	A2	0.226078799249531	0.160271485992018
C6	A2	0.049906191369606	0.759101483787333
A1	A3	0.679174484052533	2.9718840403714e-06
A2	A3	0.803189493433396	2.98086604323605e-08
A3	A3	1	0
A4	A3	0.700375234521576	1.27408501054202e-06
A5	A3	0.70656660412758	1.00320497575594e-06
A6	A3	0.668105065666041	4.64818706118325e-06
B1	A3	0.128330206378987	0.428635920485105
B2	A3	0.175046904315197	0.278902789524265
B3	A3	0.0395872420262664	0.807933671266958
C1	A3	0.424015009380863	0.00681011364547055
C2	A3	0.583677298311445	0.000104092657469124
C3	A3	0.579549718574109	0.000119026299575866
C4	A3	0.124202626641651	0.443735350071959
C5	A3	0.305065666041276	0.056022905057849
C6	A3	0.154596622889306	0.339580367023155
A1	A4	0.674296435272045	3.62011842959232e-06
A2	A4	0.816135084427767	8.45120174064631e-09
A3	A4	0.700375234521576	1.27408501054202e-06
A4	A4	1	0
A5	A4	0.772232645403377	1.14084449741271e-07
A6	A4	0.735084427767355	3.6549205708719e-07
B1	A4	0.0142589118198874	0.930537963629142
B2	A4	0.0555347091932458	0.732840546707878
B3	A4	-0.139587242026266	0.388962386225597
C1	A4	0.355347091932458	0.0250063735657779
C2	A4	0.424015009380863	0.00681011364547055
C3	A4	0.379924953095685	0.016144022119818
C4	A4	0.00675422138836773	0.967307775824668
C5	A4	0.165666041275797	0.305785651417213
C6	A4	0.00469043151969981	0.977434550128028
A1	A5	0.623452157598499	2.62063497993429e-05
A2	A5	0.774484052532833	1.05815172735314e-07
A3	A5	0.70656660412758	1.00320497575594e-06
A4	A5	0.772232645403377	1.14084449741271e-07
A5	A5	1	0
A6	A5	0.77016885553471	1.22067240123154e-07
B1	A5	0.0303939962476548	0.852065597022407
B2	A5	0.10281425891182	0.526516864410678
B3	A5	-0.0921200750469043	0.570595194570113
C1	A5	0.219136960600375	0.173764317902593
C2	A5	0.356285178236398	0.0246055263678317
C3	A5	0.369418386491557	0.01953595970764
C4	A5	0.0116322701688555	0.943394953406183
C5	A5	0.0692307692307692	0.67024550732486
C6	A5	-0.075609756097561	0.641803374749948
A1	A6	0.662101313320826	5.91564022370365e-06
A2	A6	0.750656660412758	2.23961458779443e-07
A3	A6	0.668105065666041	4.64818706118325e-06
A4	A6	0.735084427767355	3.6549205708719e-07
A5	A6	0.77016885553471	1.22067240123154e-07
A6	A6	1	0
B1	A6	0.0564727954971858	0.728492168429897
B2	A6	-0.00187617260787993	0.991249169468044
B3	A6	-0.108818011257036	0.502533965307077
C1	A6	0.267166979362101	0.0956933261460769
C2	A6	0.322138836772983	0.0431487262033232
C3	A6	0.290806754221388	0.0690063385071786
C4	A6	-0.00900562851782364	0.956266273935718
C5	A6	0.1093808630394	0.500314679142884
C6	A6	0.0292682926829268	0.857503414061865
A1	B1	0.127392120075047	0.432041902087592
A2	B1	0.049718574108818	0.759981696947701
A3	B1	0.128330206378987	0.428635920485105
A4	B1	0.0142589118198874	0.930537963629142
A5	B1	0.0303939962476548	0.852065597022407
A6	B1	0.0564727954971858	0.728492168429897
B1	B1	1	0
B2	B1	0.807692307692308	2.16367343914391e-08
B3	B1	0.830018761726079	0
C1	B1	-0.19812382739212	0.219583501196239
C2	B1	0.0354596622889306	0.827683307419645
C3	B1	-0.143151969981238	0.376866677700048
C4	B1	-0.326266416510319	0.0404309391061648
C5	B1	-0.298874296435272	0.0613948704917309
C6	B1	-0.252908067542214	0.115295652519444
A1	B2	0.0613508442776736	0.706019835970426
A2	B2	0.0816135084427768	0.615491488396769
A3	B2	0.175046904315197	0.278902789524265
A4	B2	0.0555347091932458	0.732840546707878
A5	B2	0.10281425891182	0.526516864410678
A6	B2	-0.00187617260787993	0.991249169468044
B1	B2	0.807692307692308	2.16367343914391e-08
B2	B2	1	0
B3	B2	0.813508442776736	1.22685144028867e-08
C1	B2	-0.232833020637899	0.147896342399494
C2	B2	-0.0784240150093809	0.629412699366097
C3	B2	-0.1	0.53795081539472
C4	B2	-0.3046904315197	0.056337297779278
C5	B2	-0.291369606003752	0.0684520366806117
C6	B2	-0.269981238273921	0.0921498656038385
A1	B3	-0.0195121951219512	0.904879928814726
A2	B3	-0.0485928705440901	0.765269277076054
A3	B3	0.0395872420262664	0.807933671266958
A4	B3	-0.139587242026266	0.388962386225597
A5	B3	-0.0921200750469043	0.570595194570113
A6	B3	-0.108818011257036	0.502533965307077
B1	B3	0.830018761726079	0
B2	B3	0.813508442776736	1.22685144028867e-08
B3	B3	1	0
C1	B3	-0.136210131332083	0.400630264314459
C2	B3	-0.0144465290806754	0.929620241300107
C3	B3	-0.125891181988743	0.437522986028548
C4	B3	-0.200375234521576	0.214307389313547
C5	B3	-0.239024390243902	0.137187659852108
C6	B3	-0.0969981238273921	0.550278839530053
A1	C1	0.592870544090056	7.67608124758628e-05
A2	C1	0.356472795497186	0.0245260070058839
A3	C1	0.424015009380863	0.00681011364547055
A4	C1	0.355347091932458	0.0250063735657779
A5	C1	0.219136960600375	0.173764317902593
A6	C1	0.267166979362101	0.0956933261460769
B1	C1	-0.19812382739212	0.219583501196239
B2	C1	-0.232833020637899	0.147896342399494
B3	C1	-0.136210131332083	0.400630264314459
C1	C1	1	0
C2	C1	0.777673545966229	9.4820202303908e-08
C3	C1	0.65703564727955	7.23963652289728e-06
C4	C1	0.567729831144466	0.00017316900624489
C5	C1	0.585365853658537	9.84905357471135e-05
C6	C1	0.700375234521576	1.27408501054202e-06
A1	C2	0.56829268292683	0.000170155264585531
A2	C2	0.545215759849906	0.000341439888840548
A3	C2	0.583677298311445	0.000104092657469124
A4	C2	0.424015009380863	0.00681011364547055
A5	C2	0.356285178236398	0.0246055263678317
A6	C2	0.322138836772983	0.0431487262033232
B1	C2	0.0354596622889306	0.827683307419645
B2	C2	-0.0784240150093809	0.629412699366097
B3	C2	-0.0144465290806754	0.929620241300107
C1	C2	0.777673545966229	9.4820202303908e-08
C2	C2	1	0
C3	C2	0.773921200750469	1.0784138848363e-07
C4	C2	0.583864915572233	0.000103456206975622
C5	C2	0.675422138836773	3.45900405571807e-06
C6	C2	0.627954971857411	2.21910482837299e-05
A1	C3	0.372045028142589	0.0186360473347286
A2	C3	0.436960600375235	0.00517863755760605
A3	C3	0.579549718574109	0.000119026299575866
A4	C3	0.379924953095685	0.016144022119818
A5	C3	0.369418386491557	0.01953595970764
A6	C3	0.290806754221388	0.0690063385071786
B1	C3	-0.143151969981238	0.376866677700048
B2	C3	-0.1	0.53795081539472
B3	C3	-0.125891181988743	0.437522986028548
C1	C3	0.65703564727955	7.23963652289728e-06
C2	C3	0.773921200750469	1.0784138848363e-07
C3	C3	1	0
C4	C3	0.636022514071295	1.63898121057443e-05
