gene	N1	N2	N3	N4	T1	T2	T3	T4
CYP3A4	7.962	8.378	7.791	7.752	4.731	4.351	4.323	3.91
ALDOB	6.645	7.733	7.658	8.131	4.59	3.817	4.431	4.034
PCK1	8.68	7.878	8.701	7.893	4.977	4.396	4.22	4.41
FBP1	8.784	7.502	7.523	8.878	4.671	3.491	5.078	4.834
CPS1	7.301	7.652	8.567	8.193	4.78	4.085	4.371	4.612
ARG1	8.164	7.723	8.103	7.882	4.676	3.519	4.101	4.528
HAO1	8.121	7.712	8.486	7.836	4.665	4.357	4.837	4.66
SDS	7.65	7.73	7.325	8.339	4.651	4.443	3.598	3.901
OTC	7.88	7.516	7.779	8.738	4.579	3.681	3.74	4.868
AGXT	8.352	7.785	8.042	8.27	3.096	4.663	5.469	4.109
MAT1A	8.109	7.645	7.508	8.92	3.643	4.947	4.357	3.972
ADH4	8.271	6.643	8.346	8.706	4.174	4.122	3.792	4.746
CCNB1	4.548	4.38	4.113	4.369	8.134	7.145	7.259	7.2
CDK1	4.416	4.177	4.673	4.236	8.076	8.255	7.93	7.623
TOP2A	4.646	3.91	5.053	5.024	8.117	8.65	7.464	7.866
BUB1	3.885	3.625	4.234	5.22	8.215	8.063	7.223	8.124
CDC20	3.787	4.776	5.402	4.478	7.325	7.394	6.92	8.357
MKI67	4.6	4.627	5.043	3.576	8.604	9.098	8.305	7.114
AURKA	4.436	4.083	4.669	4.758	7.536	7.811	8.072	7.746
PLK1	4.502	4.516	4.248	4.537	8.326	7.692	8.298	8.776
KIF20A	4.545	4.659	3.766	3.952	8.702	8.092	7.826	8.414
HMMR	4.229	4.735	3.868	4.524	7.84	8.444	7.88	8.216
TPX2	4.745	4.823	3.926	4.856	7.436	7.829	8.094	7.944
NUSAP1	5.384	4.437	5.35	4.865	7.911	7.532	7.94	7.738
