gene	sample	alteration
TP53	P01	MUT
TP53	P02	MUT
TP53	P03	MUT
TP53	P04	MUT
TP53	P05	MUT
TP53	P06	MUT
TP53	P07	MUT
TP53	P08	MUT
TP53	P09	MUT
TP53	P10	MUT
TP53	P11	MUT
TP53	P12	MUT
TP53	P13	MUT
TP53	P14	MUT
TP53	P15	MUT
TP53	P16	MUT
TP53	P18	MUT
KRAS	P01	MUT
KRAS	P02	MUT
KRAS	P03	MUT
KRAS	P03	AMP
KRAS	P04	MUT
KRAS	P05	MUT
KRAS	P07	MUT
KRAS	P07	AMP
KRAS	P08	MUT
KRAS	P09	MUT
KRAS	P10	MUT
KRAS	P11	AMP
KRAS	P12	AMP
EGFR	P13	AMP
EGFR	P13	MUT
EGFR	P14	AMP
EGFR	P15	AMP
EGFR	P15	MUT
EGFR	P16	AMP
EGFR	P17	AMP
EGFR	P18	AMP
EGFR	P19	AMP
EGFR	P20	AMP
EGFR	P21	MUT
STK11	P02	HOMDEL
STK11	P02	MUT
STK11	P04	HOMDEL
STK11	P08	HOMDEL
STK11	P09	MUT
STK11	P14	HOMDEL
STK11	P16	HOMDEL
KEAP1	P01	MUT
KEAP1	P05	MUT
KEAP1	P06	MUT
KEAP1	P10	MUT
KEAP1	P14	MUT
KEAP1	P18	MUT
CDKN2A	P04	HOMDEL
CDKN2A	P08	HOMDEL
CDKN2A	P11	HOMDEL
CDKN2A	P16	HOMDEL
CDKN2A	P19	HOMDEL
CDKN2A	P22	HOMDEL
PIK3CA	P17	MUT
PIK3CA	P17	AMP
PIK3CA	P20	MUT
PIK3CA	P23	MUT
PIK3CA	P24	AMP
BRAF	P19	MUT
BRAF	P21	MUT
BRAF	P23	MUT
NF1	P06	MUT
NF1	P12	MUT
NF1	P22	MUT
MET	P15	AMP
MET	P18	AMP
MET	P24	AMP
ERBB2	P20	AMP
ERBB2	P24	AMP
ALK	P21	MUT
