cluster	lineage	marker	expression
c1	Vγ9Vδ2	CD161	3.9245864580758
c1	Vγ9Vδ2	CD161	3.89379582661561
c1	Vγ9Vδ2	CD161	4.3122481847279
c1	Vγ9Vδ2	CD161	4.22788488150588
c1	Vγ9Vδ2	CD161	4.67051027702554
c1	Vγ9Vδ2	CD161	3.66413903452033
c1	Vγ9Vδ2	CD161	5.13903188270179
c1	Vγ9Vδ2	CD161	4.38872198740302
c1	Vγ9Vδ2	CD161	4.24618754944476
c1	Vγ9Vδ2	CD161	4.17497912772559
c1	Vγ9Vδ2	CD161	5.19209373992584
c1	Vγ9Vδ2	CD161	4.10928376887285
c1	Vγ9Vδ2	CD161	4.44405354305084
c1	Vγ9Vδ2	CD161	4.2350561611536
c1	Vγ9Vδ2	CD161	5.54405946107134
c1	Vγ9Vδ2	CD161	3.87954121237923
c1	Vγ9Vδ2	CD161	4.35198220364557
c1	Vγ9Vδ2	CD161	2.77702257371422
c1	Vγ9Vδ2	CD161	4.95048809600598
c1	Vγ9Vδ2	CD161	3.96135530329546
c1	Vγ9Vδ2	CD161	5.48933562300306
c1	Vγ9Vδ2	CD161	4.51299632878553
c1	Vγ9Vδ2	CD161	4.23452897796759
c1	Vγ9Vδ2	CD161	4.97438141137348
c1	Vγ9Vδ2	CD161	3.97013423614047
c1	Vγ9Vδ2	CD161	6
c1	Vγ9Vδ2	CD161	4.53796517769658
c1	Vγ9Vδ2	CD161	3.96186310483324
c1	Vγ9Vδ2	CD161	4.65867221237737
c1	Vγ9Vδ2	CD161	4.62912520245603
c1	Vγ9Vδ2	CD161	3.83346610336371
c1	Vγ9Vδ2	CD161	4.2035128579056
c1	Vγ9Vδ2	CD161	5.05041670728984
c1	Vγ9Vδ2	CD161	4.50422932005207
c1	Vγ9Vδ2	CD161	4.41949293113212
c1	Vγ9Vδ2	CD161	3.77359506558771
c1	Vγ9Vδ2	CD161	4.63730595007716
c1	Vγ9Vδ2	CD161	3.89178815416719
c1	Vγ9Vδ2	CD161	4.62426087846587
c1	Vγ9Vδ2	CD161	4.45789024515269
c1	Vγ9Vδ2	CD161	3.89875706663786
c1	Vγ9Vδ2	CD161	3.14798334947298
c1	Vγ9Vδ2	CD161	3.94199107509299
c1	Vγ9Vδ2	CD161	4.63738966773187
c1	Vγ9Vδ2	CD161	5.47313547389632
c1	Vγ9Vδ2	CD161	4.27408919055069
c1	Vγ9Vδ2	CD161	3.78223364453476
c1	Vγ9Vδ2	CD161	3.58994749733474
c1	Vγ9Vδ2	CD161	3.78134440558175
c1	Vγ9Vδ2	CD161	4.0496821896425
c1	Vγ9Vδ2	CD161	5.4862758582383
c1	Vγ9Vδ2	CD161	4.06038176201215
c1	Vγ9Vδ2	CD161	3.86771406105371
c1	Vγ9Vδ2	CD161	4.43056261058654
c1	Vγ9Vδ2	CD161	4.27597242128043
c1	Vγ9Vδ2	CD161	3.71554824161676
c1	Vγ9Vδ2	CD161	4.54916458365304
c1	Vγ9Vδ2	CD161	4.63629044173605
c1	Vγ9Vδ2	CD161	5.7828845487425
c1	Vγ9Vδ2	CD161	5.14350548307157
c1	Vγ9Vδ2	CD161	4.57435778056362
c1	Vγ9Vδ2	CD161	3.65432065169245
c1	Vγ9Vδ2	CD161	4.68840148837266
c1	Vγ9Vδ2	CD161	4.61825015918079
c1	Vγ9Vδ2	CD161	4.03428914540975
c1	Vγ9Vδ2	CD161	3.87076802536585
c1	Vγ9Vδ2	CD161	4.24702608587315
c1	Vγ9Vδ2	CD161	5.3543899138393
c1	Vγ9Vδ2	CD161	4.7385681638736
c1	Vγ9Vδ2	CD161	5.37027634743896
c1	Vγ9Vδ2	CD161	4.5547955103582
c1	Vγ9Vδ2	CD161	3.18330044932637
c1	Vγ9Vδ2	CD161	3.89838266182164
c1	Vγ9Vδ2	CD161	4.09081524555338
c1	Vγ9Vδ2	CD161	4.58917549665867
c1	Vγ9Vδ2	CD161	4.22069150996095
c1	Vγ9Vδ2	CD161	5.30378280448786
c1	Vγ9Vδ2	CD161	4.94172839983018
c1	Vγ9Vδ2	CD161	3.80916725419136
c1	Vγ9Vδ2	CD161	4.3803612049024
c1	Vγ9Vδ2	CD161	4.47072704184561
c1	Vγ9Vδ2	CD161	3.74673087387474
c1	Vγ9Vδ2	CD161	4.49671947019247
c1	Vγ9Vδ2	CD161	5.20624441249792
c1	Vγ9Vδ2	CD161	3.68335040403558
c1	Vγ9Vδ2	CD161	4.53394594896302
c1	Vγ9Vδ2	CD161	4.89877647801607
c1	Vγ9Vδ2	CD161	3.94608824776712
c1	Vγ9Vδ2	CD161	3.39677916596036
c1	Vγ9Vδ2	CD161	4.9202229478982
