group	item	value
South	Yunnan	25.9
South	Hainan	10.6
South	Guizhou	21.7
South	Guangxi	14.0
South	Guangdong	32.3
Northwest	Xizang	11.1
Northwest	Xinjiang	20.1
Northwest	Shaanxi	8.9
Northwest	Qinghai	26.8
Northwest	Ningxia	10.3
Northwest	Gansu	18.3
Northeast	Liaoning	44.1
Northeast	Jilin	30.1
Northeast	Heilongjiang	25.8
North	Shanxi	15.8
North	Shandong	11.7
North	Neimeng	17.2
North	Hebei	22.8
North	Beijing	18.9
North	Tianjin	13.6
East	Zhejiang	18.5
East	Shanghai	14.6
East	Jiangsu	23.0
East	Fujian	18.2
East	Anhui	25.6
Central	Sichuan	16.4
Central	Jiangxi	21.9
Central	Hunan	16.1
Central	Hubei	22.0
Central	Henan	13.8
Central	Chongqing	9.7
