source	target	value
Total	Environment	0.342284047256003
Environment	Land use	0.32322870366987
Land use	Cocoa butter (Organic)	0.177682517071359
Land use	Cocoa mass (Organic)	0.137241325342711
Land use	Hazelnuts (Organic)	0.00433076373512774
Land use	Cane sugar (Organic)	0.00296956039863467
Land use	Vegetables (Organic)	0.00100453712203756
Environment	Climate change	0.0112886157414413
Climate change	Cocoa butter (Organic)	0.00676852971933996
Climate change	Cocoa mass (Organic)	0.00394686874786743
Climate change	Cane sugar (Organic)	0.000315972058711838
Climate change	Hazelnuts (Organic)	0.000218969462265292
Climate change	Vegetables (Organic)	3.82757532567656e-05
Environment	Harmful substances	0.00604275542495656
Harmful substances	Cocoa mass (Organic)	0.0055125989240741
Harmful substances	Cocoa butter (Organic)	0.000330017607892127
Harmful substances	Cane sugar (Organic)	0.000200138892990337
Harmful substances	Hazelnuts (Organic)	0
Harmful substances	Vegetables (Organic)	0
Environment	Water use	0.00148345269044703
Water use	Cocoa butter (Organic)	0.00135309891304186
Water use	Cocoa mass (Organic)	0.000105714137908639
Water use	Hazelnuts (Organic)	1.33452642581887e-05
Water use	Cane sugar (Organic)	8.78074837009238e-06
Water use	Vegetables (Organic)	2.5136268682477e-06
Environment	Resource depletion	0.000240519729288764
Resource depletion	Cane sugar (Organic)	0.000226237279345084
Resource depletion	Vegetables (Organic)	1.42824499436793e-05
Resource depletion	Hazelnuts (Organic)	0
Resource depletion	Cocoa mass (Organic)	0
Resource depletion	Cocoa butter (Organic)	0
Environment	Refrigeration	0
Environment	Packaging	0
Total	Human rights	0.307574096993239
Human rights	Child labour	0.0410641202645833
Child labour	Hazelnuts (Organic)	0.0105339381639722
Child labour	Cocoa mass (Organic)	0.0105
Child labour	Cocoa butter (Organic)	0.0087294420777
Child labour	Coconut oil (Organic)	0.00474399974233333
Child labour	Cane sugar (Organic)	0.00388226450884445
Child labour	Vegetables (Organic)	0.00267447577173333
Human rights	Forced labour	0.0365458590642445
Forced labour	Hazelnuts (Organic)	0.0114913076376389
Forced labour	Cocoa butter (Organic)	0.0081134807347
Forced labour	Cocoa mass (Organic)	0.00765230236575
Forced labour	Cane sugar (Organic)	0.004
Forced labour	Vegetables (Organic)	0.00296668823626667
Forced labour	Coconut oil (Organic)	0.00232208008988889
Human rights	Health safety	0.0345435327843611
Health safety	Hazelnuts (Organic)	0.0121419536385
Health safety	Cocoa mass (Organic)	0.00766772850678333
Health safety	Cocoa butter (Organic)	0.0056245892061
Health safety	Coconut oil (Organic)	0.00361616847688889
Health safety	Cane sugar (Organic)	0.00277374682533333
Health safety	Vegetables (Organic)	0.00271934613075556
Human rights	Access to water	0.0340206659360667
Access to water	Cocoa mass (Organic)	0.0105
Access to water	Cocoa butter (Organic)	0.0089274160792
Access to water	Hazelnuts (Organic)	0.0054148022845
Access to water	Cane sugar (Organic)	0.00333938149786667
Access to water	Vegetables (Organic)	0.00314663377488889
Access to water	Coconut oil (Organic)	0.00269243229961111
Human rights	Freedom of association	0.0320571523941667
Freedom of association	Hazelnuts (Organic)	0.0132312483463611
Freedom of association	Cocoa butter (Organic)	0.0077695200707
Freedom of association	Cocoa mass (Organic)	0.00510606573995
Freedom of association	Vegetables (Organic)	0.00354321156324444
Freedom of association	Cane sugar (Organic)	0.00240710667391111
Freedom of association	Coconut oil (Organic)	0
Human rights	Access to land	0.0315022209894056
Access to land	Hazelnuts (Organic)	0.00964970063322223
Access to land	Cocoa mass (Organic)	0.00938530207965
Access to land	Cocoa butter (Organic)	0.0060110791848
Access to land	Cane sugar (Organic)	0.00380818314608889
Access to land	Vegetables (Organic)	0.00264795594564445
Access to land	Coconut oil (Organic)	0
Human rights	Sufficient wage	0.0287776757227333
Sufficient wage	Cocoa mass (Organic)	0.00883512456493333
Sufficient wage	Cocoa butter (Organic)	0.0078343367268
Sufficient wage	Coconut oil (Organic)	0.00347879026511111
Sufficient wage	Hazelnuts (Organic)	0.00316254211388889
Sufficient wage	Vegetables (Organic)	0.00281013722808889
Sufficient wage	Cane sugar (Organic)	0.00265674482391111
Human rights	Equal rights migrants	0.0271146645119444
Equal rights migrants	Cocoa butter (Organic)	0.0071042315061
Equal rights migrants	Cocoa mass (Organic)	0.00636673210005
Equal rights migrants	Hazelnuts (Organic)	0.00601459775836111
Equal rights migrants	Coconut oil (Organic)	0.00429185583138889
Equal rights migrants	Cane sugar (Organic)	0.00182647471915556
Equal rights migrants	Vegetables (Organic)	0.00151077259688889
Human rights	Discrimination	0.0211217763359833
Discrimination	Cocoa mass (Organic)	0.00609671700306667
Discrimination	Cocoa butter (Organic)	0.0047738806325
Discrimination	Coconut oil (Organic)	0.00368119084494444
Discrimination	Vegetables (Organic)	0.00286009813604444
Discrimination	Cane sugar (Organic)	0.00283706180951111
Discrimination	Hazelnuts (Organic)	0.000872827909916666
Human rights	Working hours	0.02082642898975
Working hours	Hazelnuts (Organic)	0.0107216773848333
Working hours	Coconut oil (Organic)	0.00359009052944444
Working hours	Vegetables (Organic)	0.00212300379075556
Working hours	Cocoa butter (Organic)	0.0018518584356
Working hours	Cocoa mass (Organic)	0.00158227069058333
Working hours	Cane sugar (Organic)	0.000957528158533333
