GDP	life	year	population	country
28604	77.0	1990	17096869	Australia
31163	77.4	1990	27662440	Canada
1516	68.0	1990	1154605773	China
13670	74.7	1990	10582082	Cuba
28599	75.0	1990	4986705	Finland
29476	77.1	1990	56943299	France
31476	75.4	1990	78958237	Germany
28666	78.1	1990	254830	Iceland
1777	57.7	1990	870601776	India
29550	79.1	1990	122249285	Japan
2076	67.9	1990	20194354	North Korea
12087	72.0	1990	42972254	South Korea
24021	75.4	1990	3397534	New Zealand
43296	76.8	1990	4240375	Norway
10088	70.8	1990	38195258	Poland
19349	69.6	1990	147568552	Russia
10670	67.3	1990	53994605	Turkey
26424	75.7	1990	57110117	United Kingdom
37062	75.4	1990	252847810	United States
44056	81.8	2015	23968973	Australia
43294	81.7	2015	35939927	Canada
13334	76.9	2015	1376048943	China
21291	78.5	2015	11389562	Cuba
38923	80.8	2015	5503457	Finland
37599	81.9	2015	64395345	France
44053	81.1	2015	80688545	Germany
42182	82.8	2015	329425	Iceland
5903	66.8	2015	1311050527	India
36162	83.5	2015	126573481	Japan
1390	71.4	2015	25155317	North Korea
34644	80.7	2015	50293439	South Korea
34186	80.6	2015	4528526	New Zealand
64304	81.6	2015	5210967	Norway
24787	77.3	2015	38611794	Poland
23038	73.13	2015	143456918	Russia
19360	76.5	2015	78665830	Turkey
38225	81.4	2015	64715810	United Kingdom
53354	79.1	2015	321773631	United States
