year_id	mean_prev	age_group
2019	0.0798	25 to 29
2019	0.0855	30 to 34
2019	0.0912	35 to 39
2019	0.0926	40 to 44
2019	0.0949	45 to 49
2019	0.0975	50 to 54
2019	0.0951	55 to 59
2019	0.098	60 to 64
2019	0.0971	65 to 69
2019	0.0824	70 to 74
2019	0.0735	75 to 79
2019	0.0599	80 to 84
2019	0.0607	85 to 89
2019	0.0618	90 to 94
2019	0.0627	95 plus
2020	0.0833	25 to 29
2020	0.0897	30 to 34
2020	0.0961	35 to 39
2020	0.0975	40 to 44
2020	0.0994	45 to 49
2020	0.1022	50 to 54
2020	0.0994	55 to 59
2020	0.103	60 to 64
2020	0.1019	65 to 69
2020	0.0868	70 to 74
2020	0.0777	75 to 79
2020	0.0631	80 to 84
2020	0.064	85 to 89
2020	0.0652	90 to 94
2020	0.0663	95 plus
2021	0.087	25 to 29
2021	0.0938	30 to 34
2021	0.1013	35 to 39
2021	0.1026	40 to 44
2021	0.1041	45 to 49
2021	0.1069	50 to 54
2021	0.104	55 to 59
2021	0.1081	60 to 64
2021	0.1069	65 to 69
2021	0.0914	70 to 74
2021	0.0823	75 to 79
2021	0.0666	80 to 84
2021	0.0676	85 to 89
2021	0.0688	90 to 94
2021	0.07	95 plus
