patient	BRCA1	BRCA2
TCGA-C8-A1HL	2.2753	1.0983
TCGA-EW-A2FS	1.8484	0.24
TCGA-A2-A3XX	3.1045	0.4233
TCGA-Z7-A8R5	0.1257	-2.3884
TCGA-B6-A0RL	4.0127	1.736
TCGA-E2-A2P6	2.4883	1.1641
TCGA-AO-A1KT	3.0481	0.9935
TCGA-E9-A3HO	3.3134	-0.0877
TCGA-D8-A1XJ	3.1829	2.6962
TCGA-AC-A2FK	1.1382	0.7321
TCGA-E9-A1R4	3.7453	1.6234
TCGA-LL-A740	1.736	-0.7346
TCGA-BH-A0BZ	3.2127	-0.4521
TCGA-C8-A3M8	3.7518	1.1577
TCGA-BH-A0BM	0.8647	-1.3921
TCGA-AN-A0XW	2.6533	0.8327
TCGA-E2-A1LL	2.9875	2.0183
TCGA-BH-A18K	2.2452	0.3796
TCGA-BH-A28O	1.46	0.1903
TCGA-A7-A4SC	2.2543	1.0151
TCGA-E9-A24A	2.3816	1.7575
TCGA-AC-A6IV	2.6138	2.0673
TCGA-B6-A400	2.6114	0.8327
TCGA-A8-A096	3.1749	2.2175
TCGA-E2-A1LH	1.1316	-0.2845
TCGA-B6-A0RH	1.3109	1.125
TCGA-A8-A07W	4.7066	2.4675
TCGA-B6-A0X7	1.9822	0.9419
TCGA-EW-A1P0	3.0163	1.0573
TCGA-EW-A1PC	5.0858	3.2557
TCGA-A7-A0CH	2.3981	0.1388
TCGA-E9-A2JS	4.1036	2.4805
TCGA-A2-A1G6	2.081	-0.2159
TCGA-B6-A0WV	4.1859	1.0363
TCGA-UL-AAZ6	1.4281	1.4962
TCGA-B6-A0RG	2.6067	-0.1345
TCGA-A7-A0DC	2.1191	0.1776
TCGA-A2-A0CR	0.4016	-2.1779
TCGA-GM-A2DD	1.0363	0.2881
TCGA-BH-A6R9	1.4962	0.7999
TCGA-HN-A2OB	1.4174	-0.8084
TCGA-UU-A93S	2.694	0.4016
TCGA-AR-A24P	4.0824	2.1047
TCGA-E9-A1N9	3.4371	2.77
TCGA-B6-A0I9	3.1162	2.2813
TCGA-E2-A1L9	2.5437	1.683
TCGA-AC-A23H	2.7826	2.3193
TCGA-AR-A1AP	2.5437	1.6187
TCGA-BH-A0H5	2.1702	1.0847
TCGA-OK-A5Q2	3.1685	1.3735
TCGA-BH-A0E6	1.6512	-0.3201
TCGA-D8-A1JA	1.8036	1.8957
TCGA-BH-A0BW	3.9012	2.6556
TCGA-B6-A0WZ	2.3592	0.1388
TCGA-C8-A135	2.0535	1.5612
TCGA-BH-A0E2	1.816	1.9822
TCGA-BH-A0BJ	2.0325	0.5568
TCGA-BH-A203	2.1894	2.6019
TCGA-A2-A1G1	3.1971	3.4318
TCGA-BH-A0C7	5.0392	2.296
TCGA-E2-A14X	2.4279	1.642
TCGA-BH-A8FZ	2.1013	0.1257
TCGA-S3-AA17	2.9692	1.692
TCGA-AR-A1AR	3.7421	2.9729
TCGA-D8-A13Z	3.3828	2.3451
TCGA-A7-A6VX	2.7422	0.3231
TCGA-AR-A255	3.3061	1.8996
TCGA-AR-A1AT	3.0671	1.5514
TCGA-A2-A0CU	3.4609	-0.1504
TCGA-BH-A0AZ	1.9786	-0.4325
TCGA-E2-A1IH	2.4985	1.6466
TCGA-BH-A18R	2.8361	3.0568
TCGA-AC-A4ZE	3.3591	1.1512
TCGA-B6-A0RS	1.5415	1.3567
TCGA-AR-A24H	4.9369	-0.9132
TCGA-A8-A099	2.909	1.8564
TCGA-A8-A09R	4.225	2.299
TCGA-EW-A6SC	2.1213	1.7828
TCGA-D8-A1XC	2.5585	0.7146
TCGA-EW-A1PE	3.1955	2.1313
TCGA-E2-A1II	3.1781	2.1247
TCGA-S3-AA14	2.1925	2.3193
TCGA-A8-A09B	3.3336	0.7493
TCGA-AR-A5QP	2.1378	1.2147
TCGA-E9-A6HE	2.3222	-1.8314
TCGA-BH-A0HI	2.0638	1.0363
TCGA-EW-A1P1	1.7995	0.434
TCGA-OL-A66P	-0.4719	-2.0529
TCGA-A2-A1G4	3.8847	1.9264
TCGA-E2-A105	4.0331	2.0707
TCGA-E2-A573	3.1011	1.4704
TCGA-A2-A0EV	3.9412	1.5902
TCGA-A8-A08A	2.3106	0.4865
TCGA-E9-A1RG	2.4857	-1.2481
TCGA-D8-A1XL	3.0671	0.1648
TCGA-A2-A0ER	3.1717	1.6558
TCGA-OL-A66K	2.6873	-1.0262
TCGA-EW-A1OX	1.766	-0.1345
TCGA-S3-AA10	3.6748	0.9642
TCGA-A8-A0A9	3.2018	1.0222
TCGA-BH-A1FB	2.2543	0.7407
TCGA-A2-A04T	-1.0262	3.1344
TCGA-OL-A5S0	1.9564	0.1257
TCGA-A8-A07J	2.1013	1.4441
TCGA-E9-A229	3.3478	1.8484
TCGA-A2-A0SX	2.971	2.8542
TCGA-BH-A0AW	0.6239	-0.2845
TCGA-BH-A2L8	2.7073	0.7493
TCGA-BH-A0B6	0.7579	-1.0559
TCGA-AO-A0JL	-0.2328	-0.3566
TCGA-BH-A0BS	2.5756	0.8408
TCGA-B6-A0IG	4.7549	2.3649
TCGA-OL-A66L	0.099	-2.8262
TCGA-BH-A0DO	2.0569	-0.1187
TCGA-LL-A73Y	1.8363	1.5013
TCGA-BH-A0DK	1.2209	0.5859
TCGA-BH-A0BG	2.183	1.683
TCGA-A8-A06Z	3.417	0.7999
TCGA-AN-A0AT	-0.0574	3.4034
TCGA-E2-A14U	1.5266	0.1776
TCGA-AR-A24Q	1.5216	1.3679
TCGA-EW-A1P5	3.4556	2.1638
TCGA-BH-A1FN	3.4048	0.7321
TCGA-A7-A4SE	1.614	2.3788
TCGA-A1-A0SJ	2.3536	1.7954
TCGA-E2-A570	2.3704	0.2154
TCGA-BH-A201	2.5731	2.0076
TCGA-A8-A09E	3.7794	2.128
TCGA-D8-A27V	1.766	0.24
TCGA-E2-A14Y	1.9415	1.1382
TCGA-MS-A51U	1.6187	-0.1031
TCGA-A8-A06Y	1.7229	0.517
TCGA-GI-A2C8	0.3115	-0.7588
TCGA-AR-A1AM	1.1316	0.4447
TCGA-AN-A041	3.7313	2.1013
TCGA-B6-A409	1.3167	-0.9971
TCGA-BH-A1EX	2.9507	1.8484
TCGA-A7-A0CJ	2.2633	1.0363
TCGA-BH-A0H0	3.7877	2.4063
TCGA-LL-A5YO	0.7832	1.3397
TCGA-AN-A0FW	1.3167	0.7233
TCGA-AC-A6IX	1.6785	0.537
TCGA-A2-A04Y	1.9675	0.7407
TCGA-E2-A156	3.4075	1.4065
TCGA-AR-A24R	3.2915	2.5213
TCGA-D8-A1JP	3.3814	0.8568
TCGA-E2-A1IK	1.8201	-0.4521
TCGA-AN-A0FS	2.4465	-0.7346
TCGA-AC-A3TM	1.6466	-1.3921
TCGA-C8-A12K	3.1045	2.945
TCGA-AR-A2LE	2.1444	0.044
TCGA-BH-A0HK	1.3454	0.4865
TCGA-AR-A250	3.4739	1.614
TCGA-D8-A1JG	2.561	1.5266
TCGA-C8-A134	-0.1504	3.5982
TCGA-AN-A0FX	1.4704	1.4388
TCGA-AC-A62V	2.1147	-1.0559
TCGA-GM-A3XN	1.412	-0.0277
TCGA-C8-A275	2.3423	3.2856
TCGA-AO-A129	0.6239	1.3454
TCGA-BH-A1F8	3.7039	2.1476
TCGA-D8-A1JK	2.7826	0.9115
TCGA-A8-A08X	2.3564	2.9469
TCGA-AR-A2LN	1.884	-0.9132
TCGA-A8-A09A	2.8916	1.0642
TCGA-E2-A1IJ	2.1247	1.1316
TCGA-A8-A08O	3.6184	1.4704
TCGA-A2-A4RY	1.5612	-0.0574
TCGA-A2-A0SY	1.7403	0.605
TCGA-AC-A8OP	2.0673	-0.0277
TCGA-EW-A1PA	2.2268	1.5316
TCGA-AO-A126	1.0915	-1.8314
TCGA-AO-A0J6	3.7116	1.6327
TCGA-EW-A6SB	0.7058	-0.0574
TCGA-EW-A2FV	1.9822	2.2573
TCGA-AO-A03R	1.8683	0.7493
TCGA-E9-A54X	2.0673	0.2029
TCGA-AO-A0JB	-2.6349	-2.7274
TCGA-AC-A3W5	2.0218	0.7321
TCGA-A7-A13G	2.2579	0.8049
TCGA-AR-A1AS	3.3911	1.2085
TCGA-C8-A1HJ	2.4985	2.8974
TCGA-D8-A1Y1	3.6566	2.0569
TCGA-BH-A0DD	4.5964	3.0995
TCGA-A2-A0EN	1.5115	0.7058
TCGA-E9-A1R2	3.417	-0.2671
TCGA-A8-A08L	3.3278	0.679
TCGA-A7-A3RF	1.4962	-0.3022
TCGA-A2-A0D4	4.0091	1.9601
TCGA-EW-A1IW	4.2669	3.0533
TCGA-AO-A03M	2.4008	2.0878
TCGA-B6-A0IQ	2.4412	1.5758
TCGA-BH-A1EW	3.7539	2.5437
TCGA-BH-A1FG	1.816	-0.2671
TCGA-AR-A0TS	1.692	3.2617
TCGA-A2-A0CM	2.9243	2.7073
TCGA-A8-A06X	2.4008	2.0218
TCGA-D8-A140	2.5061	0.4447
TCGA-E9-A1R6	3.8719	0.2154
TCGA-A2-A0CZ	0.6969	-1.0559
TCGA-BH-A1FE	4.0662	2.2633
TCGA-AN-A0XS	2.3981	1.1512
TCGA-A2-A04Q	1.8323	0.4761
TCGA-WT-AB41	0.7999	-1.2481
TCGA-BH-A0BV	3.3105	1.5514
TCGA-AC-A5XS	1.7912	-0.3201
TCGA-E2-A109	3.906	2.1606
TCGA-B6-A1KF	2.5511	1.674
TCGA-BH-A1FL	3.4868	1.7446
TCGA-E9-A1NI	2.9032	1.8078
TCGA-A8-A07R	3.2841	-0.3752
TCGA-AN-A03Y	2.7117	0.9419
TCGA-BH-A0C1	2.7095	1.736
TCGA-BH-A1FH	1.3956	0.8164
TCGA-E2-A572	0.3685	-2.3884
TCGA-A8-A08H	2.7139	2.1047
TCGA-JL-A3YW	2.496	0.7916
TCGA-AN-A0XN	1.884	0.9191
TCGA-A1-A0SK	4.3299	3.8827
TCGA-AO-A125	1.766	0.7146
TCGA-PE-A5DC	2.8178	-2.3884
TCGA-E9-A3X8	0.0854	-2.7274
TCGA-BH-A0AU	3.6669	1.7828
TCGA-GM-A2DB	1.2455	-1.5522
TCGA-E9-A244	0.6425	1.3956
TCGA-A8-A0AB	4.3024	0.605
TCGA-A2-A3XV	1.7828	-1.8836
TCGA-AN-A04A	1.3167	0.1648
TCGA-E2-A14O	2.8158	0.1257
TCGA-A2-A0T7	2.9765	1.2992
TCGA-A7-A0D9	2.2144	0.9642
TCGA-GM-A3XL	-1.0262	1.4911
TCGA-AO-A0JJ	2.8076	1.3454
TCGA-A2-A0CV	0.8488	-0.3022
TCGA-AN-A046	1.4962	0.1903
TCGA-D8-A1X6	3.6077	1.8879
TCGA-EW-A3U0	2.3135	0.8883
TCGA-AO-A0JF	2.0878	0.4657
TCGA-A2-A0T0	2.824	0.2998
TCGA-BH-A0EA	1.595	0.2277
TCGA-D8-A147	4.3772	1.6187
TCGA-E9-A54Y	2.59	-1.5105
TCGA-LL-A5YN	0.6969	-1.5522
TCGA-C8-A26Y	3.7825	2.2931
TCGA-AN-A0FJ	2.4198	-0.3201
TCGA-BH-A1EV	3.3321	3.7193
