day	value
Mon	52.9
Mon	47.26
Mon	53.91
Mon	60.26
Mon	49.23
Mon	48.87
Mon	62.91
Mon	55.41
Mon	45.1
Mon	54.76
Mon	47.71
Mon	46.89
Mon	52.83
Mon	36.21
Mon	37.68
Mon	45.66
Mon	40.81
Mon	50.69
Mon	41.59
Mon	40.38
Mon	59.81
Mon	48.41
Mon	52.12
Mon	38.74
Mon	45.72
Mon	51.82
Mon	40.63
Mon	51.01
Mon	44.84
Mon	46.55
Mon	47.39
Mon	64.56
Mon	50.44
Mon	43.87
Mon	57.13
Mon	39.96
Mon	53.07
Mon	36.05
Mon	41.67
Mon	53.0
Mon	54.59
Mon	49.67
Mon	48.08
Mon	47.54
Mon	40.63
Mon	46.26
Mon	44.71
Mon	57.65
Mon	52.14
Mon	36.2
Mon	50.81
Mon	46.58
Mon	46.9
Mon	53.7
Mon	57.5
Mon	57.51
Mon	43.41
Mon	49.66
Mon	54.23
Mon	56.03
Tue	33.15
Tue	40.87
Tue	44.14
Tue	51.73
Tue	42.77
Tue	43.77
Tue	43.04
Tue	37.19
Tue	47.02
Tue	45.07
Tue	44.04
Tue	39.14
Tue	46.91
Tue	34.31
Tue	45.0
Tue	49.74
Tue	39.68
Tue	41.48
Tue	44.07
Tue	39.4
Tue	33.67
Tue	44.0
Tue	37.33
Tue	45.82
Tue	40.06
Tue	49.81
Tue	37.95
Tue	40.21
Tue	46.76
Tue	36.19
Tue	41.62
Tue	47.62
Tue	37.11
Tue	43.55
Tue	43.35
Tue	43.61
Tue	37.36
Tue	38.51
Tue	42.71
Tue	43.3
Tue	44.54
Tue	44.39
Tue	39.98
Tue	43.77
Tue	42.65
Tue	38.23
Tue	50.93
Tue	45.2
Tue	38.55
Tue	46.36
Tue	38.02
Tue	45.25
Tue	47.97
Tue	39.21
Tue	46.78
Tue	44.89
Tue	46.95
Tue	49.18
Tue	40.49
Tue	37.27
Wed	53.5
Wed	58.78
Wed	72.2
Wed	48.27
Wed	61.24
Wed	49.9
Wed	55.3
Wed	64.04
Wed	60.11
Wed	51.75
Wed	56.0
Wed	63.27
Wed	52.86
Wed	57.44
Wed	56.65
Wed	52.57
Wed	67.9
Wed	62.14
Wed	45.4
Wed	58.28
Wed	55.82
Wed	60.68
Wed	55.0
Wed	56.51
Wed	59.19
Wed	63.44
Wed	52.06
Wed	57.71
Wed	56.39
Wed	55.7
Wed	66.62
Wed	58.89
Wed	52.23
Wed	64.16
Wed	71.37
Wed	63.2
Wed	49.32
Wed	56.5
Wed	64.17
Wed	55.92
Wed	61.82
Wed	61.88
Wed	54.02
Wed	58.7
Wed	38.99
Wed	54.1
Wed	56.66
Wed	52.6
Wed	66.05
Wed	51.89
Wed	55.19
Wed	56.75
Wed	67.37
Wed	48.65
Wed	63.53
Wed	59.86
Wed	54.53
Wed	60.78
Wed	59.6
Wed	54.57
Thu	42.19
Thu	39.1
Thu	54.82
Thu	53.0
Thu	50.99
Thu	50.36
Thu	46.18
Thu	43.66
Thu	48.13
Thu	42.19
Thu	53.63
Thu	47.54
Thu	44.58
Thu	46.26
Thu	49.57
Thu	43.79
Thu	44.52
Thu	49.71
Thu	46.43
Thu	42.51
Thu	44.1
Thu	49.43
Thu	41.54
Thu	38.4
Thu	43.7
Thu	45.43
Thu	50.47
Thu	55.92
Thu	52.74
Thu	46.06
Thu	46.56
Thu	40.96
Thu	45.13
Thu	46.98
Thu	49.9
Thu	44.77
Thu	51.64
Thu	55.06
Thu	47.52
Thu	50.83
Thu	51.93
Thu	43.94
Thu	47.95
Thu	45.58
Thu	49.32
Thu	43.47
Thu	46.04
Thu	50.23
Thu	54.9
Thu	51.34
Thu	56.47
Thu	43.76
Thu	51.54
Thu	49.03
Thu	58.28
Thu	44.27
Thu	42.91
Thu	44.18
Thu	37.64
Thu	43.92
Fri	69.03
Fri	75.02
Fri	55.67
Fri	69.56
Fri	71.98
Fri	50.8
Fri	54.39
Fri	50.9
Fri	63.3
Fri	71.23
Fri	77.7
Fri	65.56
Fri	75.86
Fri	54.55
Fri	52.26
Fri	65.56
Fri	67.68
Fri	63.26
Fri	48.25
Fri	63.77
Fri	55.56
Fri	70.43
Fri	67.24
Fri	59.73
Fri	61.48
Fri	55.81
Fri	62.93
Fri	70.95
Fri	56.41
Fri	67.51
Fri	59.67
Fri	58.05
Fri	62.87
Fri	58.63
Fri	59.07
Fri	55.9
Fri	79.74
Fri	67.2
Fri	58.07
Fri	66.24
Fri	66.01
Fri	64.76
Fri	70.99
Fri	69.85
Fri	59.61
Fri	61.25
Fri	64.6
Fri	47.54
Fri	53.65
Fri	74.62
Fri	78.72
Fri	61.83
Fri	68.72
Fri	67.09
Fri	88.68
Fri	72.57
Fri	62.48
Fri	58.1
Fri	51.81
Fri	66.89
Sat	55.56
Sat	47.57
Sat	49.56
Sat	56.63
Sat	47.09
Sat	53.55
Sat	60.94
Sat	50.33
Sat	62.36
Sat	45.26
Sat	57.83
Sat	66.53
Sat	37.63
Sat	49.68
Sat	60.04
Sat	53.67
Sat	56.75
Sat	49.92
Sat	54.37
Sat	55.48
Sat	63.96
Sat	56.48
Sat	57.34
Sat	53.75
Sat	50.01
Sat	52.15
Sat	57.94
Sat	52.34
Sat	55.21
Sat	71.81
Sat	63.16
Sat	52.85
Sat	64.66
Sat	53.68
Sat	40.78
Sat	46.17
Sat	41.49
Sat	52.83
Sat	54.83
Sat	68.32
Sat	59.15
Sat	55.08
Sat	60.93
Sat	37.13
