symbol	log2FC	baseMean	group
Rptoros	4.1843	3.802	None
Poglut3	0.537	101.8629	None
Dph6	0.1138	57.3375	None
Leng1	-0.597	129.6343	None
Zfp871	-0.55	1351.0719	None
Uck2	-0.0662	36.5616	None
1700029J07Rik	-1.0581	7.0199	None
Rab5a	0.0323	487.7017	None
Cyp2a5	-0.783	6213.8326	None
Kbtbd12	0.7146	4.8902	None
Ubtd2	1.5167	67.6823	Up
Cenpo	-0.1278	34.5099	None
Gm1976	1.0688	12.1984	None
Bco1	-0.6991	50.6791	None
Plekhg1	0.4185	88.9498	None
Minpp1	-0.2041	706.6512	None
Cryz	-0.2347	860.0125	None
Dnajb13	3.1272	5.4521	None
Spry4	-0.9592	207.5337	None
Gm16548	-0.3712	181.2521	None
1700001P01Rik	1.5094	1.4598	None
Slc2a3	0.4491	13.0167	None
Ube2j2	0.2067	284.7906	None
Sap30bp	-0.0765	79.2194	None
Arl6	-0.2699	11.55	None
Usp6nl	0.4571	312.0188	None
Prss12	-0.0333	1.8921	None
Med8	-0.3373	142.5783	None
Grb2	0.2378	662.8264	None
Pot1a	-0.2316	36.4736	None
LOC102640673	-0.2824	38.5513	None
Angptl8	-1.0891	380.9338	None
Lamb1	0.6545	42.5604	None
Usp48	0.2584	250.5133	None
Milr1	0.5287	20.7592	None
Nars2	-0.5661	135.156	None
Cyp4a14	-2.6837	3812.5092	Down
Dph7	0.1991	40.1735	None
Tti1	0.393	173.681	None
Lsm14b	-0.2893	217.18	None
Mug2	0.6349	1469.3738	None
Sfn	-0.0393	31.4655	None
Armc10	0.126	116.3551	None
Ctdnep1	-0.0744	287.4879	None
Mfsd9	0.5465	52.7712	None
Rnf26	0.283	309.5835	None
Azgp1	-0.251	9903.2422	None
Antxr1	1.2045	52.5167	Up
Arl16	-0.3074	67.2336	None
Nfil3	1.943	642.5062	Up
1700094J05Rik	1.0316	11.6784	None
Ctns	-0.1603	247.8814	None
Tbx3	-0.9418	495.5439	None
Pigt	0.206	566.6832	None
Lrrc32	0.1531	259.3098	None
Snord73a	-1.1857	4.4166	None
Cd300lb	1.7685	37.0684	Up
Mrpl42	0.3541	15.421	None
9330175E14Rik	-1.5528	7.8769	None
Fabp1	-2.5687	1077.8485	Down
Mycn	-2.1054	5.7012	None
Timm22	-0.7808	95.915	None
Zfp512	0.3381	171.4802	None
Capn6	2.9764	48.9253	Up
P2rx6	1.7827	2.3435	None
Degs1	0.6063	1060.1546	None
Washc1	-0.1154	145.937	None
Zc3h12a	1.3329	92.6888	Up
Trmt2b	-0.3562	307.0256	None
Nfx1	-0.1582	445.1065	None
Fanci	-0.1295	126.889	None
Plekhh2	-0.9493	24.9203	None
Dolpp1	-0.3087	206.3288	None
Dsg1c	-1.0939	77.9871	Down
Cyb5a	-0.771	3181.9277	None
Gdpd1	1.0971	24.1338	None
Zfp846	0.4576	40.8023	None
Lyrm4	-0.2555	68.6878	None
BC021767	0.5978	20.1559	None
Mrtfb	1.1221	622.2401	Up
Zfp91	-0.4774	1343.3711	None
Cc2d1a	0.7001	52.9506	None
Pak1ip1	-0.1964	146.7691	None
Cdk18	-0.5131	359.9448	None
Acnat1	-0.3727	2062.1692	None
Pnpla2	0.4681	802.7219	None
Lum	2.643	574.1193	Up
Rbms2	0.5057	225.6614	None
Ctsz	0.192	1664.7035	None
Syt6	0.3542	53.0771	None
Gm20498	-0.769	72.6362	None
Polr2d	-0.2484	47.5811	None
Acaa1a	-0.6663	1103.5743	None
Tkt	0.3224	223.2934	None
Glul	-1.4497	12584.8873	Down
