sample	GPX4	ACSF2	FADS2	PEBP1	HMOX1	HSPA5	SLC7A11	RPL8
S01	3.2951	3.4276	3.3725	3.4814	5.9508	5.5085	4.5932	3.9919
S02	3.9726	4.5913	4.7653	4.5941	2.8053	3.3479	3.8084	3.9410
S03	3.7463	3.5874	2.5760	2.9906	5.9783	4.6052	4.9495	4.8438
S04	2.9131	3.0912	3.6644	3.0359	4.6973	3.8686	3.6176	2.9898
S05	5.2801	4.8089	6.0569	5.6237	4.1495	5.4209	5.4610	7.0210
S06	2.9685	3.0590	3.2520	3.2336	3.5366	3.4015	3.2401	3.3046
S07	5.4236	5.7940	5.7660	5.1591	4.5589	4.7299	4.0806	2.7703
S08	4.1565	4.8571	4.1432	4.8122	3.8895	3.1074	4.0996	3.9797
S09	4.7223	4.2131	3.8398	4.8974	6.5706	5.1120	3.8159	4.0185
S10	2.6472	2.2322	2.2738	4.2306	3.2888	2.5470	4.7036	4.8432
S11	2.9729	3.5443	3.7729	3.1894	3.4115	3.9321	4.8210	4.1018
S12	3.3160	4.5544	3.9519	3.6871	4.5744	4.0856	3.9615	3.5572
S13	2.3348	2.3345	2.9282	3.7912	5.4774	4.5268	4.6846	4.5399
S14	3.8962	2.8754	4.0539	2.7917	4.0099	4.3493	4.5412	3.7622
S15	2.6135	3.2522	2.3559	2.5600	2.9211	2.3587	4.8671	4.3010
S16	4.9182	4.1586	4.1008	4.9083	5.2467	4.9207	8.0043	7.1036
S17	3.1878	4.5426	3.4308	3.9780	5.1372	4.6416	6.9442	6.3266
S18	5.9483	4.1657	4.1076	5.8994	3.2548	2.8703	2.7409	3.0492
S19	3.8476	3.6837	3.9373	4.7803	5.3394	5.7492	4.9763	4.8038
S20	2.7382	3.6628	3.5757	3.4659	5.7048	5.3807	6.2672	5.8135
S21	2.9654	3.2489	3.6553	3.3503	5.8739	5.2365	5.6201	4.2837
S22	4.3816	4.4125	3.8215	4.9633	5.2808	5.9539	6.3236	5.8559
S23	3.7880	4.4336	4.1570	3.3508	5.2662	4.1597	2.5930	3.5630
S24	4.7009	4.3641	3.9294	4.6415	1.5822	2.2114	4.9210	5.3005
S25	4.3411	4.3419	4.3358	4.1585	4.1445	3.3608	4.3185	5.1390
S26	4.9101	4.5134	3.7389	4.0432	2.9047	3.7446	4.1526	3.9404
S27	4.0253	4.6470	4.3045	4.3205	3.7518	4.1223	3.4495	3.8238
S28	3.0936	4.0486	4.4239	4.3012	5.1007	3.4273	3.3992	4.0109
S29	3.5385	3.9494	4.1657	3.7882	4.8079	3.8346	2.3467	4.9109
S30	3.1748	3.7500	3.4227	2.7306	4.9948	4.2587	2.2333	2.5651
S31	2.3771	4.3291	4.0075	3.6002	5.6954	6.6940	5.3522	5.0500
S32	2.6621	3.4510	3.9338	3.1990	4.2206	3.3154	4.8883	5.1600
S33	4.7526	4.9570	4.5793	4.2936	5.5628	5.3573	3.2184	3.4627
S34	3.3696	3.7303	3.0034	2.2562	5.6729	5.2211	3.6265	3.4996
S35	4.1195	3.5013	4.2047	4.3197	4.3768	4.5406	5.9285	5.0520
S36	5.3001	5.2077	5.6023	4.4940	5.2683	5.0006	4.7818	3.3572
S37	4.1924	4.3610	5.2685	4.8146	5.4197	5.1092	3.0979	3.4394
S38	5.7871	5.0746	5.6512	5.3657	4.4595	5.4998	5.7896	5.0326
S39	4.2969	3.7961	3.9962	2.9012	5.8276	5.8142	2.5817	3.1464
S40	3.9088	3.5202	3.0536	3.0382	3.8124	3.4223	3.7830	4.0480
S41	1.4622	3.1804	2.8709	2.6514	4.1650	3.2339	3.4159	3.9600
S42	4.1629	3.4822	3.7920	3.6679	2.8960	3.3453	5.1659	4.4991
S43	4.9528	5.7254	5.0489	4.2815	4.7648	4.4380	4.0526	4.6359
S44	2.7964	1.7658	2.2031	3.5330	3.5940	3.1339	4.1063	3.4826
S45	5.7612	5.4861	3.9872	4.8834	4.5443	3.3980	3.7120	3.3069
S46	3.6266	3.9451	3.8663	3.7807	4.3683	4.4466	4.6837	3.9748
S47	1.5855	2.2455	2.7434	2.5627	3.8323	3.9516	3.8123	4.1621
S48	5.3315	4.1684	4.7541	5.0951	1.3632	2.3704	4.7294	4.3690
S49	4.9021	4.0720	5.8853	4.3915	4.0323	3.9262	3.1794	1.7679
S50	4.6248	5.4689	5.5074	4.7777	4.1931	5.6013	3.3172	3.0580
S51	5.1644	4.0892	4.8977	5.6189	3.2268	3.0661	4.1366	5.5384
S52	3.5359	4.4454	3.5115	4.9965	4.4282	3.7619	4.0321	4.9327
S53	2.5844	3.8345	3.1997	2.9979	2.0060	2.9984	1.4800	2.5732
S54	4.6373	5.2151	5.0098	5.2738	3.7625	5.1177	4.5990	4.7916
S55	4.4537	4.3725	3.8657	4.3097	3.6372	4.7078	1.5240	2.6998
S56	4.3459	4.4541	5.0598	4.5410	4.2777	4.7426	4.5649	3.2330
S57	3.9889	3.8821	3.8125	4.6976	4.1893	4.8264	3.8110	3.5406
S58	5.5486	4.5854	5.3246	4.6584	5.7276	5.8558	5.6714	4.9290
S59	6.0277	5.7727	5.3962	5.3754	3.8419	4.4998	2.8747	3.5911
S60	4.3768	4.6274	3.6123	4.1524	4.5491	4.3838	5.0072	4.4477
S61	2.5772	2.2836	3.3792	3.7112	2.4538	3.0535	3.7224	5.2601
S62	6.7688	7.0333	6.8998	5.8739	4.6157	5.6546	5.1691	5.1911
S63	2.9526	4.2809	4.1824	4.6719	4.7965	4.5962	6.5714	5.0845
S64	2.0281	2.7244	2.5220	2.5052	5.8565	4.9145	6.0206	5.0134
S65	4.7896	4.8425	4.6136	3.7483	3.0551	3.3638	5.2964	4.8358
S66	6.6376	5.4681	6.1671	5.4864	4.8518	4.3044	2.8991	3.8812
S67	2.5244	3.5944	4.6548	4.1963	6.1815	5.1443	4.6875	4.0252
S68	2.3372	2.9848	3.8929	3.8934	7.1016	5.3140	5.5528	4.0725
S69	4.4584	3.4032	2.9164	3.3316	4.0863	2.6338	1.9172	2.3567
S70	4.0122	5.0595	5.0285	5.1010	3.6228	3.4683	2.7386	2.5566
S71	4.0062	4.5604	3.6858	4.3704	4.0991	4.2040	3.4925	3.8679
S72	4.2991	4.2700	3.6447	4.2965	3.1776	3.8449	4.5565	3.8147
S73	3.5402	4.0116	5.1412	3.8172	4.8657	5.3960	6.1730	4.8428
S74	4.2043	3.7600	3.7857	4.7355	4.9295	3.6703	5.2170	4.7358
S75	5.8650	5.3865	5.1860	4.6175	2.2864	3.1742	3.0944	4.4288
S76	4.1216	4.5487	5.2960	4.3174	4.1109	4.0995	3.8430	3.8621
S77	2.5368	2.5059	3.3479	4.1352	3.0462	2.5698	5.0122	5.2757
S78	4.3920	4.3712	5.7196	4.6956	4.4178	4.1376	3.4722	3.1084
S79	2.8843	2.9415	2.8794	2.7607	4.1822	3.7963	3.4079	4.1191
S80	4.6033	4.7822	4.4700	3.6211	4.8046	3.6671	3.9411	4.1152
S81	4.2588	3.8963	4.2727	4.9200	5.4923	4.7485	5.1431	4.7612
S82	4.5056	5.1294	4.3948	4.5644	4.4058	5.0797	1.3324	1.7972
S83	4.0002	4.1019	3.8294	3.6147	5.6075	4.6712	5.0654	3.6495
S84	3.1184	3.3799	3.4404	3.2176	5.1669	4.7392	3.2596	4.0783
S85	6.5948	6.8546	6.0888	5.0933	2.4943	3.2045	2.8929	4.0101
S86	3.8088	4.3081	4.0319	3.8956	5.6855	5.6914	5.5573	4.2403
S87	2.8866	2.8097	2.5369	2.6350	3.0416	2.8549	1.9347	1.2870
S88	5.0193	5.5622	5.4489	5.0226	6.2709	4.7565	4.1963	4.0258
S89	3.0659	3.0870	3.3191	4.3275	5.1866	4.8283	3.3234	3.7390
S90	2.6737	2.9021	3.4148	3.3014	5.7722	5.2236	5.5018	4.9673
