symbol	KO	OE	group
AP000553.2	0.0144	1.8162	None
SASS6	-0.2115	1.1787	None
OR51M1	-0.7866	3.7179	None
GPX2	0.0012	0.879	None
ATXN2-AS	0.9954	-0.1493	None
MEF2C-AS1	-1.7064	1.775	None
SUCLA2	-0.0854	-0.7543	None
AP002884.1	-0.2246	-0.1871	None
CAMK2N2	-0.8755	0.3948	None
MYH3	0.359	0.833	None
RSAD2	1.0221	-0.3437	None
ELFN1-AS1	-0.7072	0.5482	None
THOC1	-0.287	1.6751	None
C1orf131	-0.0735	0.0139	None
PROSER2-AS1	-0.4245	0.3438	None
UBE4A	0.1326	-1.7527	None
KRTAP3-1	-1.2168	0.7457	None
ZNF195	-0.162	0.4007	None
ZNF620	-0.335	-0.458	None
MT1XP1	0.0012	1.879	None
AL136528.1	-0.4228	-1.9985	None
ARHGAP31	0.0069	-0.5235	None
INTS12	0.0777	-0.4648	None
AC005523.1	1.0034	0.204	None
SLC25A16	-0.0524	-0.2421	None
GNAS-AS1	0.5306	1.121	None
HORMAD2-AS1	0.5772	0.0865	None
AC124283.2	-0.3962	-0.621	None
CCDC40	0.1118	1.5072	None
MMP19	-2.3808	1.1977	None
DKFZp779M0652	2.3138	-2.4367	None
HDAC2	-0.0995	-0.1368	None
POLR2J	0.232	0.4286	None
TSPAN5	0.1475	-0.3897	None
ACSL6	-0.723	-1.0095	None
STAG3L5P-PVRIG2P-PILRB	0.3627	2.1715	None
ZNF83	-0.0099	1.4331	None
DRG1	-0.0057	-0.2168	None
KCNN1	0.1023	0.0136	None
AC007128.2	-0.0726	-0.5676	None
FBH1	0.0854	-1.0946	None
DOCK5	-0.1718	0.7708	None
PHAX	0.0294	-0.1349	None
WDR12	-0.0438	-0.3359	None
AC004951.3	0.2521	3.7564	None
NDUFS6	0.0482	0.3335	None
TAS2R5	-0.8921	2.6566	None
RAB3GAP2	-0.0227	-0.3174	None
AP000347.2	-1.0706	2.7121	None
TFRC	0.2791	-0.9159	None
AC007773.1	0.3231	0.596	None
HDAC6	0.1519	0.8109	None
EIF2D	0.0438	-0.2034	None
BIVM	-0.3894	0.4862	None
AL359955.1	0.4145	0.7766	None
RHOU	-0.1996	-0.3336	None
LHPP	-0.2288	-0.7829	None
