umap_1	umap_2	Celltype	Timepoint	Condition
-4.5251	1.5836	Neurons	T0	Control
-4.1854	1.2381	Neurons	T0	Control
-5.0341	1.7095	Neurons	T1	Control
-4.9495	1.8171	Neurons	T0	Obesity
-3.5518	1.8005	Neurons	T0	Control
-4.7138	2.5389	Neurons	T1	Obesity
-3.472	0.8907	Neurons	T1	Obesity
-3.8563	2.6979	Neurons	T0	Obesity
-4.2251	2.065	Neurons	T0	Control
-4.7523	0.8979	Neurons	T2	Control
-4.6556	1.2273	Neurons	T0	Control
-4.3916	1.8442	Neurons	T0	Control
-5.0461	1.8852	Neurons	T2	Obesity
-4.3406	2.1526	Neurons	T0	Control
-4.8325	1.8701	Neurons	T2	Obesity
-4.1932	2.6638	Neurons	T1	Obesity
-4.3226	1.9056	Neurons	T1	Control
-3.7117	1.5501	Neurons	T0	Control
-4.5257	1.3496	Neurons	T0	Obesity
-4.5606	1.9656	Neurons	T0	Control
-4.5754	0.9475	Neurons	T0	Obesity
-4.2087	1.4011	Neurons	T0	Control
-4.4434	1.3612	Neurons	T0	Control
-4.0061	2.936	Neurons	T0	Control
-4.1598	2.9271	Neurons	T0	Obesity
-4.1961	2.2324	Neurons	T0	Obesity
-4.3032	1.8995	Neurons	T0	Obesity
-4.6211	1.4263	Neurons	T0	Control
-4.3216	2.6051	Neurons	T2	Control
-4.741	2.0446	Neurons	T2	Obesity
-4.8074	0.929	Neurons	T0	Obesity
-4.716	1.8665	Neurons	T0	Obesity
-3.8268	1.3987	Neurons	T2	Control
-5.0676	1.5158	Neurons	T0	Obesity
-4.6785	2.4244	Neurons	T0	Obesity
-3.9334	1.6247	Neurons	T0	Control
-4.3023	1.851	Neurons	T0	Control
-3.3499	2.1451	Neurons	T1	Control
-4.5363	1.642	Neurons	T0	Control
-4.3913	1.9523	Neurons	T1	Obesity
-5.1001	1.9973	Neurons	T0	Control
-4.1888	1.2929	Neurons	T2	Obesity
-3.7095	1.2506	Neurons	T0	Control
-4.68	1.6474	Neurons	T2	Obesity
-3.7105	1.8846	Neurons	T0	Control
-4.3891	1.1914	Neurons	T1	Control
-5.4027	1.7289	Neurons	T1	Obesity
-3.716	2.511	Neurons	T1	Control
-3.8019	1.8855	Neurons	T1	Obesity
-4.0791	1.8764	Neurons	T0	Obesity
-3.7656	1.2908	Neurons	T0	Control
-4.3265	1.4494	Neurons	T1	Control
-4.6502	0.4885	Neurons	T1	Control
-3.9251	1.9139	Neurons	T2	Control
-4.1124	1.8484	Neurons	T1	Control
-3.9016	2.168	Neurons	T0	Obesity
-4.2862	0.7732	Neurons	T1	Control
-3.9587	0.9623	Neurons	T1	Obesity
-3.3817	3.0198	Neurons	T2	Control
-4.1669	0.5798	Neurons	T0	Obesity
-4.667	0.9537	Neurons	T2	Obesity
-2.9132	2.1482	Neurons	T1	Control
-4.2667	2.0261	Neurons	T2	Control
-5.2726	1.4788	Neurons	T0	Obesity
-3.9037	2.3184	Neurons	T1	Control
-3.2686	1.506	Neurons	T0	Obesity
-4.635	1.0039	Neurons	T2	Obesity
-4.7914	1.4262	Neurons	T2	Obesity
-4.5343	1.7567	Neurons	T2	Obesity
-3.7851	1.7139	Neurons	T2	Obesity
-3.9506	1.8974	Neurons	T0	Control
-4.2679	1.6783	Neurons	T1	Control
-4.6197	2.2958	Neurons	T2	Control
-4.0745	1.7729	Neurons	T0	Control
-3.5843	1.5591	Neurons	T0	Control
-4.1139	2.0594	Neurons	T0	Control
-4.5788	2.1932	Neurons	T1	Obesity
-3.9509	1.9107	Neurons	T0	Obesity
-4.7872	1.5727	Neurons	T0	Control
-3.9791	1.9888	Neurons	T1	Obesity
-4.2356	1.3167	Neurons	T1	Obesity
-4.0265	2.4535	Neurons	T1	Obesity
-4.5331	2.6207	Neurons	T0	Control
-4.6992	2.2154	Neurons	T1	Obesity
-2.9561	1.0297	Neurons	T1	Control
-4.5318	1.6438	Neurons	T1	Control
-4.9138	1.8058	Neurons	T0	Obesity
-3.9215	2.0982	Neurons	T0	Control
-4.6693	1.5435	Neurons	T0	Control
-5.0283	0.8338	Neurons	T1	Control
-3.5387	2.0991	Neurons	T1	Control
-4.7653	2.5494	Neurons	T1	Control
-3.684	1.2883	Neurons	T2	Obesity
-4.4987	0.6025	Neurons	T2	Obesity
-3.9178	2.5059	Neurons	T1	Control
-4.3939	1.6042	Neurons	T1	Obesity
-3.4704	2.3358	Neurons	T1	Control
-4.8271	0.9741	Neurons	T1	Obesity
-3.4228	1.596	Neurons	T2	Control
-4.5312	1.6783	Neurons	T0	Obesity
-4.4429	1.2991	Neurons	T0	Control
-4.066	1.6903	Neurons	T0	Control
-3.8718	2.4722	Neurons	T1	Control
-4.266	2.1109	Neurons	T0	Obesity
-5.3384	1.8969	Neurons	T1	Control
-3.8779	2.2707	Neurons	T0	Control
-3.9308	2.6229	Neurons	T1	Obesity
-4.7536	2.4341	Neurons	T2	Control
