sample	group	CDH1	EPCAM	KRT8	KRT18	MKI67	TOP2A	CCNB1	CDK1	VIM	FN1	ZEB1	SNAI1	ACTB	GAPDH	CD8A	CD3D
N1	Normal	4.502	3.676	4.08	3.739	1.289	0.977	1.433	0.879	1.244	0.686	0.887	1.003	4.694	5.039	1.471	1.54
N2	Normal	4.137	3.216	3.463	3.89	1.133	0.608	1.062	1.167	1.217	0.605	0.543	0.112	5.101	4.959	1.6	1.555
N3	Normal	4.428	3.666	4.111	3.222	1.027	0.813	0.569	0.908	0.845	0.621	0.767	0.34	4.699	5.195	1.321	1.718
N4	Normal	4.105	3.944	4.071	3.428	1.547	1.141	1.12	0.961	0.949	0.72	-0.058	0.563	4.919	5.141	1.628	1.708
T1	Tumor	2.24	2.387	2.374	2.228	4.703	4.359	3.771	3.78	2.137	1.59	1.481	1.628	5.169	5.102	3.005	2.558
T2	Tumor	2.733	2.157	2.319	1.973	4.237	4.335	3.952	3.76	2.205	1.981	1.906	1.395	5.143	5.306	2.956	2.611
T3	Tumor	2.151	1.779	2.318	2.144	4.764	4.43	3.779	4.207	1.853	1.823	1.507	1.473	5.041	5.026	3.194	2.824
T4	Tumor	2.293	1.989	1.935	1.916	4.387	4.794	3.7	3.83	1.671	1.477	1.627	1.281	5	4.906	3.065	2.355
M1	Metastasis	0.631	0.839	1.125	0.592	2.6	2.647	2.517	1.759	4.374	4.364	3.797	3.688	4.881	4.805	1.002	0.894
M2	Metastasis	0.809	1.045	0.894	0.605	2.753	2.168	2.191	1.659	4.657	4.04	3.797	3.428	4.898	4.824	0.983	1.183
M3	Metastasis	0.861	0.564	1.036	0.62	2.73	2.715	1.982	2.1	4.419	4.297	3.849	3.884	4.516	5.372	1.29	0.867
M4	Metastasis	0.581	0.941	1.106	0.699	2.633	2.271	2.281	2.065	4.339	3.806	4.054	3.822	4.716	4.649	1.145	0.824
