chr	start	end	ATAC	H3K27ac	H3K4me3	RNA
chr1	43300000	45000000	0.225	0.040	0.321	1.186
chr1	52100000	53800000	0.342	0.120	0.365	0.103
chr1	77300000	78900000	0.043	-0.015	0.306	-0.344
chr1	63500000	66000000	0.662	-0.025	-0.233	-0.392
chr1	2700000	5000000	0.029	-0.360	0.001	-0.659
chr2	41500000	43700000	0.322	0.224	0.155	-0.022
chr2	21700000	23500000	0.641	-0.161	0.883	0.314
chr2	12900000	14300000	0.037	0.085	-0.047	0.486
chr2	30300000	32800000	-0.164	0.119	0.211	-0.081
chr2	9900000	11100000	-0.252	-1.163	-0.208	-0.480
chr3	58900000	60800000	-0.049	0.089	0.199	0.612
chr3	34500000	36800000	-0.099	-0.175	-0.051	-0.029
chr3	44300000	46000000	-0.039	-0.455	0.584	-0.575
chr3	17100000	19600000	0.150	0.221	0.122	1.142
chr3	25500000	27400000	0.536	0.079	-0.278	-0.873
chr4	5700000	7800000	0.603	0.425	0.356	1.257
chr4	15300000	17500000	0.773	0.234	0.471	1.800
chr4	3300000	6000000	1.022	0.406	0.644	1.382
chr4	50100000	52600000	0.557	-0.013	-0.194	0.302
chr4	39500000	40700000	0.558	0.314	-0.233	0.291
chr5	13500000	16000000	0.490	-0.307	0.308	0.714
chr5	5300000	7700000	-0.400	-0.641	-0.155	-0.350
chr5	6900000	9000000	0.433	-0.171	0.176	-0.508
chr5	9900000	11600000	0.830	1.059	0.379	0.439
chr5	40900000	42200000	0.197	1.033	0.066	1.329
chr6	13300000	15200000	0.307	0.258	0.471	1.332
chr6	26100000	28200000	0.147	0.482	0.185	0.771
chr6	16300000	18500000	-0.326	-0.474	-0.029	0.233
chr6	10700000	12900000	-0.304	1.012	-0.036	-0.002
chr6	32500000	33900000	0.638	0.083	0.264	0.780
chr7	24500000	27100000	0.045	0.395	0.034	0.344
chr7	2500000	5000000	-0.136	-0.722	-0.316	-0.687
chr7	20900000	22800000	-0.308	0.076	0.029	-0.063
chr7	9300000	12000000	0.141	-0.579	0.082	-0.299
chr8	12900000	14900000	-0.018	0.134	-0.333	0.451
chr8	8700000	9900000	-0.019	0.285	0.084	0.177
chr8	27100000	28500000	0.643	-0.248	-0.360	-0.156
chr8	22500000	24200000	-0.250	0.287	-0.408	-0.636
