chr	start	end	band	stain
chr1	0	10000000	chr1p1	gneg
chr1	10000000	20000000	chr1p2	gpos25
chr1	20000000	30000000	chr1p3	gneg
chr1	30000000	40000000	chr1p4	gpos50
chr1	40000000	50000000	chr1p5	acen
chr1	50000000	60000000	chr1p6	gpos75
chr1	60000000	70000000	chr1p7	gneg
chr1	70000000	80000000	chr1p8	gpos100
chr2	0	8750000	chr2p1	gneg
chr2	8750000	17500000	chr2p2	gpos25
chr2	17500000	26250000	chr2p3	gneg
chr2	26250000	35000000	chr2p4	gpos50
chr2	35000000	43750000	chr2p5	acen
chr2	43750000	52500000	chr2p6	gpos75
chr2	52500000	61250000	chr2p7	gneg
chr2	61250000	70000000	chr2p8	gpos100
chr3	0	7750000	chr3p1	gneg
chr3	7750000	15500000	chr3p2	gpos25
chr3	15500000	23250000	chr3p3	gneg
chr3	23250000	31000000	chr3p4	gpos50
chr3	31000000	38750000	chr3p5	acen
chr3	38750000	46500000	chr3p6	gpos75
chr3	46500000	54250000	chr3p7	gneg
chr3	54250000	62000000	chr3p8	gpos100
chr4	0	6875000	chr4p1	gneg
chr4	6875000	13750000	chr4p2	gpos25
chr4	13750000	20625000	chr4p3	gneg
chr4	20625000	27500000	chr4p4	gpos50
chr4	27500000	34375000	chr4p5	acen
chr4	34375000	41250000	chr4p6	gpos75
chr4	41250000	48125000	chr4p7	gneg
chr4	48125000	55000000	chr4p8	gpos100
chr5	0	6000000	chr5p1	gneg
chr5	6000000	12000000	chr5p2	gpos25
chr5	12000000	18000000	chr5p3	gneg
chr5	18000000	24000000	chr5p4	gpos50
chr5	24000000	30000000	chr5p5	acen
chr5	30000000	36000000	chr5p6	gpos75
chr5	36000000	42000000	chr5p7	gneg
chr5	42000000	48000000	chr5p8	gpos100
chr6	0	5250000	chr6p1	gneg
chr6	5250000	10500000	chr6p2	gpos25
chr6	10500000	15750000	chr6p3	gneg
chr6	15750000	21000000	chr6p4	gpos50
chr6	21000000	26250000	chr6p5	acen
chr6	26250000	31500000	chr6p6	gpos75
chr6	31500000	36750000	chr6p7	gneg
chr6	36750000	42000000	chr6p8	gpos100
chr7	0	6000000	chr7p1	gneg
chr7	6000000	12000000	chr7p2	gpos25
chr7	12000000	18000000	chr7p3	gneg
chr7	18000000	24000000	chr7p4	acen
chr7	24000000	30000000	chr7p5	gneg
chr7	30000000	36000000	chr7p6	gpos75
chr8	0	5000000	chr8p1	gneg
chr8	5000000	10000000	chr8p2	gpos25
chr8	10000000	15000000	chr8p3	gneg
chr8	15000000	20000000	chr8p4	acen
chr8	20000000	25000000	chr8p5	gneg
chr8	25000000	30000000	chr8p6	gpos75
