chr	start	end	gene	category
chr14	21498138	21511340	METTL3	Writer
chr4	118685392	118715430	METTL14	Writer
chr6	159726998	159756319	WTAP	Writer
chr8	94487691	94553518	VIRMA	Writer
chr1	110339323	110346681	RBM15	Writer
chr3	51391285	51397905	RBM15B	Writer
chr13	45954465	46052746	ZC3H13	Writer
chr7	107743697	107761667	CBLL1	Writer
chr17	2416054	2511888	METTL16	Writer
chr16	53703963	54121941	FTO	Eraser
chr17	18183828	18209953	ALKBH5	Eraser
chr20	63195430	63216131	YTHDF1	Reader
chr1	28736621	28769775	YTHDF2	Reader
chr8	63168553	63212788	YTHDF3	Reader
chr4	68310387	68350090	YTHDC1	Reader
chr5	113513694	113595284	YTHDC2	Reader
chr7	26189927	26200746	HNRNPA2B1	Reader
chr14	21209136	21269479	HNRNPC	Reader
chr17	48997385	49056145	IGF2BP1	Reader
chr3	185643130	185825042	IGF2BP2	Reader
chr7	23310209	23470491	IGF2BP3	Reader
