Chrom	Start	End	Stain	Arm
chr1	0	2300000	gneg	p
chr1	2300000	5300000	gpos25	p
chr1	5300000	7100000	gneg	p
chr1	7100000	9100000	gpos25	p
chr1	9100000	12500000	gneg	p
chr1	12500000	15900000	gpos50	p
chr1	15900000	20100000	gneg	p
chr1	20100000	23600000	gpos25	p
chr1	23600000	27600000	gneg	p
chr1	27600000	29900000	gpos25	p
chr1	29900000	32300000	gneg	p
chr1	32300000	34300000	gpos25	p
chr1	34300000	39600000	gneg	p
chr1	39600000	43700000	gpos25	p
chr1	43700000	46300000	gneg	p
chr1	46300000	50200000	gpos75	p
chr1	50200000	55600000	gneg	p
chr1	55600000	58500000	gpos50	p
chr1	58500000	60800000	gneg	p
chr1	60800000	68500000	gpos50	p
chr1	68500000	69300000	gneg	p
chr1	69300000	84400000	gpos100	p
chr1	84400000	87900000	gneg	p
chr1	87900000	91500000	gpos75	p
chr1	91500000	94300000	gneg	p
chr1	94300000	99300000	gpos75	p
chr1	99300000	101800000	gneg	p
chr1	101800000	106700000	gpos100	p
chr1	106700000	111200000	gneg	p
chr1	111200000	115500000	gpos50	p
chr1	115500000	117200000	gneg	p
chr1	117200000	120400000	gpos50	p
chr1	120400000	121700000	gneg	p
chr1	121700000	123400000	acen	p
chr1	123400000	125100000	acen	q
chr1	125100000	143200000	gvar	q
chr1	143200000	147500000	gneg	q
chr1	147500000	150600000	gpos50	q
chr1	150600000	155100000	gneg	q
chr1	155100000	156600000	gpos50	q
chr1	156600000	159100000	gneg	q
chr1	159100000	160500000	gpos50	q
chr1	160500000	165500000	gneg	q
chr1	165500000	167200000	gpos50	q
chr1	167200000	170900000	gneg	q
chr1	170900000	173000000	gpos75	q
chr1	173000000	176100000	gneg	q
chr1	176100000	180300000	gpos50	q
chr1	180300000	185800000	gneg	q
chr1	185800000	190800000	gpos100	q
chr1	190800000	193800000	gneg	q
chr1	193800000	198700000	gpos100	q
chr1	198700000	207100000	gneg	q
chr1	207100000	211300000	gpos25	q
chr1	211300000	214400000	gneg	q
chr1	214400000	223900000	gpos100	q
chr1	223900000	224400000	gneg	q
chr1	224400000	226800000	gpos25	q
chr1	226800000	230500000	gneg	q
chr1	230500000	234600000	gpos50	q
