chrom	start	end	score	track	group
Chr8	127394999	127396799	0.000587589607049147	Plasma	scATAC (nonmalignant)
Chr8	127396799	127398599	0.0053959608418523	Plasma	scATAC (nonmalignant)
Chr8	127398599	127400399	0.00405585136410488	Plasma	scATAC (nonmalignant)
Chr8	127400399	127402199	0.00705976553795962	Plasma	scATAC (nonmalignant)
Chr8	127402199	127403999	0.0134469948720442	Plasma	scATAC (nonmalignant)
Chr8	127403999	127405799	0.0183859791740845	Plasma	scATAC (nonmalignant)
Chr8	127405799	127407599	0.029477781516094	Plasma	scATAC (nonmalignant)
Chr8	127407599	127409399	0.0438105935800742	Plasma	scATAC (nonmalignant)
Chr8	127409399	127411199	0.0579547147636091	Plasma	scATAC (nonmalignant)
Chr8	127411199	127412999	0.0384141008560266	Plasma	scATAC (nonmalignant)
Chr8	127412999	127414799	0.0294324541339913	Plasma	scATAC (nonmalignant)
Chr8	127414799	127416599	0.0162490301403665	Plasma	scATAC (nonmalignant)
Chr8	127416599	127418399	0.00942848997087518	Plasma	scATAC (nonmalignant)
Chr8	127418399	127420199	0.0104491635064109	Plasma	scATAC (nonmalignant)
Chr8	127420199	127421999	0.00126722454195537	Plasma	scATAC (nonmalignant)
Chr8	127421999	127423799	0.0050990024126129	Plasma	scATAC (nonmalignant)
Chr8	127423799	127425599	0.00911186500731591	Plasma	scATAC (nonmalignant)
Chr8	127425599	127427399	0.00163773701018111	Plasma	scATAC (nonmalignant)
Chr8	127427399	127429199	0.00935066521187289	Plasma	scATAC (nonmalignant)
Chr8	127429199	127430999	0.00142423089522768	Plasma	scATAC (nonmalignant)
Chr8	127430999	127432799	0.007698749696615	Plasma	scATAC (nonmalignant)
Chr8	127432799	127434599	5.69387690750317e-05	Plasma	scATAC (nonmalignant)
Chr8	127434599	127436399	0.00240049674990036	Plasma	scATAC (nonmalignant)
Chr8	127436399	127438199	0.000131913746002975	Plasma	scATAC (nonmalignant)
Chr8	127438199	127439999	0.0104566042873156	Plasma	scATAC (nonmalignant)
Chr8	127439999	127441799	0.00664304495584059	Plasma	scATAC (nonmalignant)
Chr8	127441799	127443599	0.006362936894939	Plasma	scATAC (nonmalignant)
Chr8	127443599	127445399	0.0117069679161457	Plasma	scATAC (nonmalignant)
Chr8	127445399	127447199	0.00361624045564262	Plasma	scATAC (nonmalignant)
Chr8	127447199	127448999	0.0121236568850123	Plasma	scATAC (nonmalignant)
