transcript	type	start	end
NM_000546	3UTR	7571720	7572926
NM_000546	CDS	7572930	7573008
NM_000546	CDS	7573927	7574033
NM_000546	CDS	7576853	7576926
NM_000546	CDS	7577019	7577155
NM_000546	CDS	7577499	7577608
NM_000546	CDS	7578177	7578289
NM_000546	CDS	7578371	7578554
NM_000546	CDS	7579312	7579590
NM_000546	CDS	7579700	7579721
NM_000546	CDS	7579839	7579912
NM_000546	5UTR	7579913	7579940
NM_000546	5UTR	7590695	7590868
NM_001126113	3UTR	7571720	7573008
NM_001126113	3UTR	7573927	7574033
NM_001126113	3UTR	7576525	7576536
NM_001126113	CDS	7576540	7576584
NM_001126113	CDS	7576853	7576926
NM_001126113	CDS	7577019	7577155
NM_001126113	CDS	7577499	7577608
NM_001126113	CDS	7578177	7578289
NM_001126113	CDS	7578371	7578554
NM_001126113	CDS	7579312	7579590
NM_001126113	CDS	7579700	7579721
NM_001126113	CDS	7579839	7579912
NM_001126113	5UTR	7579913	7579940
NM_001126113	5UTR	7590695	7590868
NM_001126118	3UTR	7571720	7572926
NM_001126118	CDS	7572930	7573008
NM_001126118	CDS	7573927	7574033
NM_001126118	CDS	7576853	7576926
NM_001126118	CDS	7577019	7577155
NM_001126118	CDS	7577499	7577608
NM_001126118	CDS	7578177	7578289
NM_001126118	CDS	7578371	7578554
NM_001126118	CDS	7579312	7579569
NM_001126118	5UTR	7579570	7579590
NM_001126118	5UTR	7579700	7579940
NM_001126118	5UTR	7590695	7590868
NM_001276760	3UTR	7571720	7572926
NM_001276760	CDS	7572930	7573008
NM_001276760	CDS	7573927	7574033
NM_001276760	CDS	7576853	7576926
NM_001276760	CDS	7577019	7577155
NM_001276760	CDS	7577499	7577608
NM_001276760	CDS	7578177	7578289
NM_001276760	CDS	7578371	7578554
NM_001276760	CDS	7579312	7579569
NM_001276760	5UTR	7579570	7579590
NM_001276760	5UTR	7579700	7579721
NM_001276760	5UTR	7579839	7579940
NM_001276760	5UTR	7590695	7590808
NM_001126116	3UTR	7571720	7573008
NM_001126116	3UTR	7573927	7574033
NM_001126116	3UTR	7576525	7576624
NM_001126116	CDS	7576628	7576657
NM_001126116	CDS	7576853	7576926
NM_001126116	CDS	7577019	7577155
NM_001126116	CDS	7577499	7577608
NM_001126116	CDS	7578177	7578289
NM_001126116	CDS	7578371	7578533
NM_001126116	5UTR	7578534	7578811
NM_001276699	3UTR	7571720	7573008
NM_001276699	3UTR	7573927	7574033
NM_001276699	3UTR	7576525	7576536
NM_001276699	CDS	7576540	7576584
NM_001276699	CDS	7576853	7576926
NM_001276699	CDS	7577019	7577155
NM_001276699	CDS	7577499	7577608
NM_001276699	CDS	7578177	7578289
NM_001276699	CDS	7578371	7578452
NM_001276699	5UTR	7578453	7578562
