Chrom	Start	End	Value
chr1	0	6923628	7.93
chr1	6923628	13847257	14.34
chr1	13847257	20770885	19.52
chr1	20770885	27694513	25.29
chr1	27694513	34618142	31.51
chr1	34618142	41541770	35.23
chr1	41541770	48465399	38.7
chr1	48465399	55389027	40.61
chr1	55389027	62312655	40.83
chr1	62312655	69236284	43.7
chr1	69236284	76159912	43.74
chr1	76159912	83083540	44.08
chr1	83083540	90007169	43.11
chr1	90007169	96930797	40.19
chr1	96930797	103854425	39.39
chr1	103854425	110778054	36.56
chr1	110778054	117701682	36.16
chr1	117701682	124625310	32.44
chr1	124625310	131548939	31.65
chr1	131548939	138472567	28.07
chr1	138472567	145396196	27.29
chr1	145396196	152319824	24.45
chr1	152319824	159243452	22.51
chr1	159243452	166167081	21.4
chr1	166167081	173090709	21.5
chr1	173090709	180014337	18.08
chr1	180014337	186937966	17.09
chr1	186937966	193861594	18.53
chr1	193861594	200785222	16.54
chr1	200785222	207708851	13.53
chr1	207708851	214632479	15.45
chr1	214632479	221556108	14.1
chr1	221556108	228479736	11.17
chr1	228479736	235403364	10.87
chr1	235403364	242326993	11.58
chr1	242326993	249250621	9.99
chr2	0	6755538	8.68
chr2	6755538	13511076	13.11
chr2	13511076	20266614	19.84
chr2	20266614	27022153	26.11
chr2	27022153	33777691	31.21
chr2	33777691	40533229	34.82
chr2	40533229	47288767	39.02
chr2	47288767	54044305	41.27
chr2	54044305	60799843	43.73
chr2	60799843	67555381	42.61
chr2	67555381	74310920	43.82
chr2	74310920	81066458	44.07
chr2	81066458	87821996	42.98
chr2	87821996	94577534	40.72
chr2	94577534	101333072	40.2
chr2	101333072	108088610	36.92
chr2	108088610	114844148	35.43
chr2	114844148	121599686	32.58
chr2	121599686	128355225	31.18
chr2	128355225	135110763	28.72
chr2	135110763	141866301	25.65
chr2	141866301	148621839	23.97
chr2	148621839	155377377	21.63
chr2	155377377	162132915	21.99
chr2	162132915	168888453	20.55
chr2	168888453	175643992	19.04
chr2	175643992	182399530	16.51
chr2	182399530	189155068	16.09
chr2	189155068	195910606	15.84
chr2	195910606	202666144	14.29
chr2	202666144	209421682	13.85
chr2	209421682	216177220	14.64
chr2	216177220	222932759	12.73
chr2	222932759	229688297	10.21
chr2	229688297	236443835	9.39
chr2	236443835	243199373	10.48
chr3	0	5500623	8.63
chr3	5500623	11001246	13.29
chr3	11001246	16501869	19.96
chr3	16501869	22002492	26.21
chr3	22002492	27503115	28.6
chr3	27503115	33003738	35.78
chr3	33003738	38504361	40.74
chr3	38504361	44004984	40.96
chr3	44004984	49505608	43.44
chr3	49505608	55006231	43.55
chr3	55006231	60506854	43.47
chr3	60506854	66007477	45.48
chr3	66007477	71508100	41.42
chr3	71508100	77008723	42.2
chr3	77008723	82509346	39.26
chr3	82509346	88009969	36.45
chr3	88009969	93510592	35.44
chr3	93510592	99011215	30.25
chr3	99011215	104511838	31.02
chr3	104511838	110012461	29.52
chr3	110012461	115513084	25.87
chr3	115513084	121013707	23.96
chr3	121013707	126514330	21.75
chr3	126514330	132014953	22
chr3	132014953	137515576	20.37
chr3	137515576	143016199	18.93
