chr1	start1	end1	chr2	start2	end2	group
Q1	1200000	6428566	T1	2333158	7368149	Q1
Q1	10209723	15637951	T1	7432298	12747445	Q1
Q1	20703144	26570721	T1	16101012	21418154	Q1
Q1	30743146	34669559	T2	25967192	29165876	Q1
Q1	41115418	48251314	T2	34102946	41349069	Q1
Q1	48836001	53002979	T2	41808572	45229006	Q1
Q2	1040000	4753449	T2	1000000	4573738	Q2
Q2	9378915	13873372	T2	8428953	13031735	Q2
Q2	17671228	22350520	T2	16453316	20652311	Q2
Q2	27031038	33263725	T3	24564991	31095185	Q2
Q2	34104371	38208035	T3	29696250	33080041	Q2
Q2	43126164	48636982	T3	39927617	45081773	Q2
Q3	880000	6049231	T4	720000	5234812	Q3
Q3	10947177	15990294	T4	10729292	15465275	Q3
Q3	22227840	25060661	T4	19002639	21536374	Q3
Q3	32705350	35575410	T4	28670674	31728189	Q3
Q4	760000	3309021	T5	640000	2732651	Q4
Q4	5843404	9940613	T5	5523077	9442461	Q4
Q4	13019145	15733905	T5	9485761	12269205	Q4
Q4	18879548	21425186	T3	21679182	23956072	Q4
Q4	25794518	30288236	T3	29765734	34752425	Q4
Q4	31505964	34266383	T3	39963467	42791909	Q4
Q5	600000	2580598	T6	520000	2283518	Q5
Q5	4794746	7985587	T6	3803777	6438420	Q5
Q5	10099281	12061491	T6	7998500	9981213	Q5
Q5	14943849	17412916	T1	30025240	32418515	Q5
Q5	20439830	23274058	T1	34922219	37342500	Q5
Q5	25381362	28816524	T1	44455575	47431903	Q5
