name	start	end	score
chr1:14-32Mb	24669551	24671445	0.2891
chr1:14-32Mb	22978599	22981875	0.2699
chr1:14-32Mb	23766989	23770314	-0.3300
chr1:14-32Mb	29768450	29772219	0.2076
chr1:14-32Mb	17858969	17859979	0.0079
chr1:14-32Mb	24320640	24324611	-0.3307
chr1:14-32Mb	27370277	27371493	-0.2961
chr1:14-32Mb	27422349	27423508	-0.2379
chr1:14-32Mb	29235039	29237463	0.3092
chr1:14-32Mb	28852552	28855036	0.2055
chr1:14-32Mb	21080436	21083250	0.2963
chr1:14-32Mb	28306402	28309646	0.4752
chr1:14-32Mb	26983928	26985537	-0.3155
chr1:14-32Mb	16558607	16561617	-0.3052
chr1:49-56Mb	53110342	53113343	-0.4260
chr1:49-56Mb	53476379	53477561	-0.2618
chr1:49-56Mb	50729348	50732642	-0.2280
chr1:49-56Mb	53724196	53725607	-0.2956
chr1:49-56Mb	54022961	54026117	-0.1843
chr1:49-56Mb	55214738	55216507	0.4096
chr1:49-56Mb	52731346	52735160	0.2064
chr1:49-56Mb	54233112	54234267	-0.4624
chr2:21-28Mb	26611979	26615171	0.2999
chr2:21-28Mb	27116640	27120494	0.3574
chr2:21-28Mb	26218162	26220308	0.3449
chr2:21-28Mb	22992091	22993254	0.3349
chr2:21-28Mb	23084961	23087880	-0.1136
chr2:21-28Mb	26267978	26270815	0.3132
chr2:21-28Mb	26086698	26089816	-0.3975
chr2:21-28Mb	27221215	27223657	-0.2805
chr3:7-16Mb	8924697	8926686	0.3314
chr3:7-16Mb	8255384	8256891	0.2026
chr3:7-16Mb	9114082	9115374	-0.2776
chr3:7-16Mb	9449277	9451669	0.2832
chr3:7-16Mb	7985717	7987969	0.1839
chr3:7-16Mb	15136914	15140775	-0.3084
chr3:7-16Mb	13129824	13130892	0.3764
chr3:7-16Mb	13876693	13879902	-0.1997
chr3:7-16Mb	9150823	9154553	0.1454
chr3:7-16Mb	10508533	10509531	0.1857
chr3:7-16Mb	8843203	8846582	-0.2090
chr3:7-16Mb	14361649	14363280	0.4605
chr3:43-48Mb	46200540	46203574	0.3440
chr3:43-48Mb	47732065	47735058	0.4019
chr3:43-48Mb	46457470	46460649	-0.2047
chr3:43-48Mb	45906987	45909987	-0.4166
chr3:43-48Mb	47083416	47086848	-0.2779
chr3:43-48Mb	44615865	44617228	0.2679
chr3:43-48Mb	46666571	46669228	0.4282
chr3:43-48Mb	46577127	46578046	0.1556
chr3:43-48Mb	47439913	47441659	0.4323
chr3:43-48Mb	45787997	45789792	0.2435
chr3:43-48Mb	46223998	46227309	0.1451
chr3:43-48Mb	43996398	43997337	-0.2341
chr3:43-48Mb	44430401	44431466	0.1729
chr3:43-48Mb	45696100	45699781	-0.4265
chr4:24-31Mb	25565775	25567891	0.4337
chr4:24-31Mb	30686288	30689046	-0.3656
chr4:24-31Mb	25690003	25692231	-0.3803
chr4:24-31Mb	30642182	30643427	0.2990
chr4:24-31Mb	25769562	25773005	-0.4572
chr4:24-31Mb	27764438	27767376	0.4217
chr4:24-31Mb	30100386	30101518	0.2742
chr4:24-31Mb	26213227	26215826	0.4248
chr4:24-31Mb	28586957	28588179	-0.5429
chr4:24-31Mb	27810768	27812858	-0.1922
chr4:24-31Mb	26347265	26348305	-0.2972
chr4:24-31Mb	26151943	26154190	-0.2950
chr5:10-17Mb	16337132	16339171	-0.2330
chr5:10-17Mb	12341131	12344405	0.3387
chr5:10-17Mb	14189804	14192238	0.3694
chr5:10-17Mb	13623990	13627118	-0.2719
chr5:10-17Mb	13146998	13149147	0.2467
chr5:10-17Mb	14075749	14077321	0.3454
chr5:10-17Mb	13027623	13028986	-0.0405
chr5:10-17Mb	16522115	16525370	-0.1526
chr5:10-17Mb	16061730	16065534	0.2126
chr5:10-17Mb	11339529	11343072	-0.5148
chr5:10-17Mb	13647298	13651076	0.3523
chr5:10-17Mb	11475345	11479081	0.1552
chr5:10-17Mb	16261048	16262688	0.5497
chr6:23-28Mb	23753171	23755316	0.2983
chr6:23-28Mb	23773156	23775609	-0.5190
chr6:23-28Mb	25571617	25572969	-0.1665
chr6:23-28Mb	24919180	24921085	0.4137
chr6:23-28Mb	26857704	26861687	-0.3990
chr6:23-28Mb	25854721	25855559	0.3537
chr6:23-28Mb	25643251	25647141	-0.3830
chr7:10-15Mb	11735094	11736482	-0.5500
chr7:10-15Mb	11265441	11266841	-0.2691
chr7:10-15Mb	12110147	12113408	0.2603
chr7:10-15Mb	13267312	13270314	-0.2115
chr7:10-15Mb	13720913	13722108	-0.4275
chr7:10-15Mb	11041311	11043842	0.4477
chr7:10-15Mb	11384364	11387972	-0.1676
chr7:10-15Mb	10615375	10619343	-0.3104
chr8:12-17Mb	14017995	14020320	-0.4276
chr8:12-17Mb	15239820	15241401	-0.2403
chr8:12-17Mb	16582205	16585411	0.1264
chr8:12-17Mb	15875289	15878241	0.4790
chr8:12-17Mb	14765405	14768917	-0.4762
chr8:12-17Mb	13084185	13085216	-0.5500
chr8:12-17Mb	15025839	15027459	-0.4196
chr8:12-17Mb	13821514	13823934	0.4395
chr8:12-17Mb	14176519	14180512	0.0998
chr8:12-17Mb	13746926	13748315	-0.2789
chr8:12-17Mb	15610172	15613581	-0.4766
chr8:12-17Mb	16239808	16242663	0.2570
chr8:12-17Mb	14051704	14054129	0.1077
chr8:12-17Mb	16197775	16201301	-0.2197
