chr	start	end	name	zstart	zend
chr1	14400000	32000000	chr1:14-32Mb	14400000	32000000
chr1	49600000	56000000	chr1:49-56Mb	49600000	56000000
chr2	21000000	28000000	chr2:21-28Mb	21000000	28000000
chr3	7440000	16120000	chr3:7-16Mb	7440000	16120000
chr3	43400000	48360000	chr3:43-48Mb	43400000	48360000
chr4	24750000	31350000	chr4:24-31Mb	24750000	31350000
chr5	10560000	17280000	chr5:10-17Mb	10560000	17280000
chr6	23100000	28140000	chr6:23-28Mb	23100000	28140000
chr7	10080000	15840000	chr7:10-15Mb	10080000	15840000
chr8	12000000	17400000	chr8:12-17Mb	12000000	17400000
