chr	start	end	value	track	type
chr1	0	2000000	8.94	density	histogram
chr1	2000000	4000000	7.31	density	histogram
chr1	4000000	6000000	11.61	density	histogram
chr1	6000000	8000000	11.44	density	histogram
chr1	8000000	10000000	15.16	density	histogram
chr1	10000000	12000000	15.95	density	histogram
chr1	12000000	14000000	15.72	density	histogram
chr1	14000000	16000000	17.99	density	histogram
chr1	16000000	18000000	16.04	density	histogram
chr1	18000000	20000000	17.00	density	histogram
chr1	20000000	22000000	14.42	density	histogram
chr1	22000000	24000000	12.92	density	histogram
chr1	24000000	26000000	12.31	density	histogram
chr1	26000000	28000000	11.72	density	histogram
chr1	28000000	30000000	18.58	density	histogram
chr1	30000000	32000000	21.15	density	histogram
chr1	32000000	34000000	24.98	density	histogram
chr1	34000000	36000000	16.22	density	histogram
chr1	36000000	38000000	16.35	density	histogram
chr1	38000000	40000000	16.79	density	histogram
chr1	40000000	42000000	19.77	density	histogram
chr1	42000000	44000000	16.16	density	histogram
chr1	44000000	46000000	18.97	density	histogram
chr1	46000000	48000000	15.73	density	histogram
chr1	48000000	50000000	13.71	density	histogram
chr1	50000000	52000000	23.77	density	histogram
chr1	52000000	54000000	22.40	density	histogram
chr1	54000000	56000000	10.13	density	histogram
chr1	56000000	58000000	8.21	density	histogram
chr1	58000000	60000000	12.08	density	histogram
chr1	60000000	62000000	14.37	density	histogram
chr1	62000000	64000000	15.04	density	histogram
chr1	64000000	66000000	17.06	density	histogram
chr1	66000000	68000000	15.96	density	histogram
chr1	68000000	70000000	16.24	density	histogram
chr1	70000000	72000000	16.57	density	histogram
chr1	72000000	74000000	17.67	density	histogram
chr1	74000000	76000000	15.37	density	histogram
chr1	76000000	78000000	13.20	density	histogram
chr1	78000000	80000000	12.25	density	histogram
chr2	0	2000000	16.93	density	histogram
chr2	2000000	4000000	14.90	density	histogram
chr2	4000000	6000000	14.91	density	histogram
chr2	6000000	8000000	12.14	density	histogram
chr2	8000000	10000000	7.69	density	histogram
chr2	10000000	12000000	10.26	density	histogram
chr2	12000000	14000000	12.60	density	histogram
chr2	14000000	16000000	16.22	density	histogram
chr2	16000000	18000000	17.36	density	histogram
chr2	18000000	20000000	16.72	density	histogram
chr2	20000000	22000000	19.92	density	histogram
chr2	22000000	24000000	16.18	density	histogram
chr2	24000000	26000000	28.39	density	histogram
chr2	26000000	28000000	28.13	density	histogram
chr2	28000000	30000000	23.58	density	histogram
chr2	30000000	32000000	10.44	density	histogram
chr2	32000000	34000000	6.34	density	histogram
chr2	34000000	36000000	11.51	density	histogram
chr2	36000000	38000000	14.34	density	histogram
chr2	38000000	40000000	15.65	density	histogram
chr2	40000000	42000000	18.39	density	histogram
chr2	42000000	44000000	17.04	density	histogram
chr2	44000000	46000000	30.76	density	histogram
chr2	46000000	48000000	29.83	density	histogram
chr2	48000000	50000000	16.56	density	histogram
chr2	50000000	52000000	14.27	density	histogram
chr2	52000000	54000000	13.53	density	histogram
chr2	54000000	56000000	11.38	density	histogram
chr2	56000000	58000000	8.98	density	histogram
chr2	58000000	60000000	12.34	density	histogram
chr2	60000000	62000000	12.27	density	histogram
chr2	62000000	64000000	16.74	density	histogram
chr2	64000000	66000000	17.85	density	histogram
chr2	66000000	68000000	19.90	density	histogram
chr2	68000000	70000000	19.17	density	histogram
chr3	0	2000000	15.50	density	histogram
chr3	2000000	4000000	13.87	density	histogram
chr3	4000000	6000000	12.40	density	histogram
chr3	6000000	8000000	6.86	density	histogram
chr3	8000000	10000000	10.09	density	histogram
chr3	10000000	12000000	11.73	density	histogram
chr3	12000000	14000000	13.88	density	histogram
chr3	14000000	16000000	15.32	density	histogram
chr3	16000000	18000000	18.99	density	histogram
chr3	18000000	20000000	16.36	density	histogram
chr3	20000000	22000000	15.86	density	histogram
chr3	22000000	24000000	26.65	density	histogram
chr3	24000000	26000000	26.13	density	histogram
chr3	26000000	28000000	8.10	density	histogram
chr3	28000000	30000000	9.05	density	histogram
chr3	30000000	32000000	12.36	density	histogram
chr3	32000000	34000000	16.23	density	histogram
chr3	34000000	36000000	17.89	density	histogram
chr3	36000000	38000000	19.19	density	histogram
chr3	38000000	40000000	29.09	density	histogram
chr3	40000000	42000000	28.95	density	histogram
chr3	42000000	44000000	15.19	density	histogram
chr3	44000000	46000000	15.05	density	histogram
chr3	46000000	48000000	12.60	density	histogram
chr3	48000000	50000000	6.84	density	histogram
chr3	50000000	52000000	9.93	density	histogram
chr3	52000000	54000000	12.83	density	histogram
chr3	54000000	56000000	14.98	density	histogram
chr3	56000000	58000000	17.40	density	histogram
chr3	58000000	60000000	18.35	density	histogram
chr3	60000000	62000000	16.67	density	histogram
chr4	0	2000000	7.72	density	histogram
chr4	2000000	4000000	12.59	density	histogram
chr4	4000000	6000000	15.03	density	histogram
chr4	6000000	8000000	17.58	density	histogram
chr4	8000000	10000000	19.81	density	histogram
chr4	10000000	12000000	18.27	density	histogram
chr4	12000000	14000000	15.98	density	histogram
chr4	14000000	16000000	13.88	density	histogram
chr4	16000000	18000000	10.97	density	histogram
chr4	18000000	20000000	7.36	density	histogram
chr4	20000000	22000000	26.01	density	histogram
chr4	22000000	24000000	28.29	density	histogram
chr4	24000000	26000000	18.59	density	histogram
chr4	26000000	28000000	19.15	density	histogram
chr4	28000000	30000000	17.24	density	histogram
chr4	30000000	32000000	15.85	density	histogram
chr4	32000000	34000000	12.29	density	histogram
chr4	34000000	36000000	23.35	density	histogram
chr4	36000000	38000000	18.82	density	histogram
chr4	38000000	40000000	10.16	density	histogram
chr4	40000000	42000000	13.60	density	histogram
chr4	42000000	44000000	15.49	density	histogram
chr4	44000000	46000000	17.26	density	histogram
chr4	46000000	48000000	16.01	density	histogram
chr4	48000000	50000000	14.56	density	histogram
chr4	50000000	52000000	12.94	density	histogram
chr4	52000000	54000000	9.77	density	histogram
chr4	54000000	55000000	8.31	density	histogram
chr5	0	2000000	15.41	density	histogram
chr5	2000000	4000000	19.50	density	histogram
chr5	4000000	6000000	17.62	density	histogram
chr5	6000000	8000000	13.54	density	histogram
chr5	8000000	10000000	10.67	density	histogram
chr5	10000000	12000000	7.57	density	histogram
chr5	12000000	14000000	11.45	density	histogram
chr5	14000000	16000000	13.69	density	histogram
chr5	16000000	18000000	30.70	density	histogram
chr5	18000000	20000000	31.97	density	histogram
chr5	20000000	22000000	17.03	density	histogram
chr5	22000000	24000000	14.88	density	histogram
chr5	24000000	26000000	10.00	density	histogram
chr5	26000000	28000000	6.59	density	histogram
chr5	28000000	30000000	11.37	density	histogram
chr5	30000000	32000000	26.26	density	histogram
chr5	32000000	34000000	18.62	density	histogram
chr5	34000000	36000000	16.64	density	histogram
chr5	36000000	38000000	15.26	density	histogram
chr5	38000000	40000000	16.74	density	histogram
chr5	40000000	42000000	11.77	density	histogram
chr5	42000000	44000000	6.77	density	histogram
chr5	44000000	46000000	12.17	density	histogram
chr5	46000000	48000000	13.31	density	histogram
chr6	0	2000000	16.05	density	histogram
chr6	2000000	4000000	14.43	density	histogram
chr6	4000000	6000000	9.65	density	histogram
chr6	6000000	8000000	12.95	density	histogram
chr6	8000000	10000000	14.74	density	histogram
chr6	10000000	12000000	17.17	density	histogram
chr6	12000000	14000000	16.46	density	histogram
chr6	14000000	16000000	29.03	density	histogram
chr6	16000000	18000000	24.64	density	histogram
chr6	18000000	20000000	9.31	density	histogram
chr6	20000000	22000000	11.48	density	histogram
chr6	22000000	24000000	14.59	density	histogram
chr6	24000000	26000000	18.95	density	histogram
chr6	26000000	28000000	31.73	density	histogram
chr6	28000000	30000000	17.35	density	histogram
chr6	30000000	32000000	13.74	density	histogram
chr6	32000000	34000000	9.47	density	histogram
chr6	34000000	36000000	13.12	density	histogram
chr6	36000000	38000000	14.60	density	histogram
