chr1	start1	end1	chr2	start2	end2
chr1	3000000	3800000	chr3	10000000	11200000
chr1	57500000	58700000	chr6	25500000	27300000
chr2	18000000	19200000	chr4	26500000	27700000
chr2	40000000	41200000	chr7	7500000	8300000
chr3	20500000	21700000	chr5	21500000	22300000
chr3	12500000	13300000	chr8	22500000	24300000
chr4	18500000	19700000	chr6	16000000	16800000
chr4	25000000	27000000	chr1	49500000	50300000
chr5	23000000	24200000	chr7	27000000	27800000
chr5	17500000	18300000	chr2	13000000	14800000
chr6	18000000	18800000	chr8	20000000	20800000
chr7	17000000	19000000	chr1	55500000	56700000
chr2	24000000	25200000	chr5	23500000	24300000
chr3	51500000	53500000	chr6	25500000	27300000
chr4	13000000	13800000	chr8	23000000	23800000
chr1	52500000	54500000	chr7	28500000	29300000
chr5	41000000	42200000	chr8	9000000	9800000
chr6	35000000	35800000	chr2	16000000	17200000
