Chrom	Start	End	Stain	Arm
chr1	0	2300000	gneg	p
chr1	2300000	5400000	gpos25	p
chr1	5400000	7200000	gneg	p
chr1	7200000	9200000	gpos25	p
chr1	9200000	12700000	gneg	p
chr1	12700000	16200000	gpos50	p
chr1	16200000	20400000	gneg	p
chr1	20400000	23900000	gpos25	p
chr1	23900000	28000000	gneg	p
chr1	28000000	30200000	gpos25	p
chr1	30200000	32400000	gneg	p
chr1	32400000	34600000	gpos25	p
chr1	34600000	40100000	gneg	p
chr1	40100000	44100000	gpos25	p
chr1	44100000	46800000	gneg	p
chr1	46800000	50700000	gpos75	p
chr1	50700000	56100000	gneg	p
chr1	56100000	59000000	gpos50	p
chr1	59000000	61300000	gneg	p
chr1	61300000	68900000	gpos50	p
chr1	68900000	69700000	gneg	p
chr1	69700000	84900000	gpos100	p
chr1	84900000	88400000	gneg	p
chr1	88400000	92000000	gpos75	p
chr1	92000000	94700000	gneg	p
chr1	94700000	99700000	gpos75	p
chr1	99700000	102200000	gneg	p
chr1	102200000	107200000	gpos100	p
chr1	107200000	111800000	gneg	p
chr1	111800000	116100000	gpos50	p
chr1	116100000	117800000	gneg	p
chr1	117800000	120600000	gpos50	p
chr1	120600000	121500000	gneg	p
chr1	121500000	125000000	acen	p
chr1	125000000	128900000	acen	q
chr1	128900000	142600000	gvar	q
chr1	142600000	147000000	gneg	q
chr1	147000000	150300000	gpos50	q
chr1	150300000	155000000	gneg	q
chr1	155000000	156500000	gpos50	q
chr1	156500000	159100000	gneg	q
chr1	159100000	160500000	gpos50	q
chr1	160500000	165500000	gneg	q
chr1	165500000	167200000	gpos50	q
chr1	167200000	170900000	gneg	q
chr1	170900000	172900000	gpos75	q
chr1	172900000	176000000	gneg	q
chr1	176000000	180300000	gpos50	q
chr1	180300000	185800000	gneg	q
chr1	185800000	190800000	gpos100	q
chr1	190800000	193800000	gneg	q
chr1	193800000	198700000	gpos100	q
chr1	198700000	207200000	gneg	q
chr1	207200000	211500000	gpos25	q
chr1	211500000	214500000	gneg	q
chr1	214500000	224100000	gpos100	q
chr1	224100000	224600000	gneg	q
chr1	224600000	227000000	gpos25	q
chr1	227000000	230700000	gneg	q
chr1	230700000	234700000	gpos50	q
chr1	234700000	236600000	gneg	q
chr1	236600000	243700000	gpos75	q
chr1	243700000	249250621	gneg	q
chr2	0	4400000	gneg	p
chr2	4400000	7100000	gpos50	p
chr2	7100000	12200000	gneg	p
chr2	12200000	16700000	gpos75	p
chr2	16700000	19200000	gneg	p
chr2	19200000	24000000	gpos75	p
chr2	24000000	27900000	gneg	p
chr2	27900000	30000000	gpos25	p
chr2	30000000	32100000	gneg	p
chr2	32100000	36600000	gpos75	p
chr2	36600000	38600000	gneg	p
chr2	38600000	41800000	gpos50	p
chr2	41800000	47800000	gneg	p
chr2	47800000	52900000	gpos100	p
chr2	52900000	55000000	gneg	p
chr2	55000000	61300000	gpos100	p
chr2	61300000	64100000	gneg	p
chr2	64100000	68600000	gpos50	p
chr2	68600000	71500000	gneg	p
chr2	71500000	73500000	gpos50	p
chr2	73500000	75000000	gneg	p
chr2	75000000	83300000	gpos100	p
chr2	83300000	90500000	gneg	p
chr2	90500000	93300000	acen	p
chr2	93300000	96800000	acen	q
chr2	96800000	102700000	gneg	q
chr2	102700000	106000000	gpos50	q
chr2	106000000	107500000	gneg	q
chr2	107500000	110200000	gpos25	q
chr2	110200000	114400000	gneg	q
chr2	114400000	118800000	gpos50	q
chr2	118800000	122400000	gneg	q
chr2	122400000	129900000	gpos50	q
chr2	129900000	132500000	gneg	q
chr2	132500000	135100000	gpos25	q
chr2	135100000	136800000	gneg	q
chr2	136800000	142200000	gpos100	q
chr2	142200000	144100000	gneg	q
chr2	144100000	148700000	gpos100	q
chr2	148700000	149900000	gneg	q
chr2	149900000	150500000	gpos25	q
chr2	150500000	154900000	gneg	q
chr2	154900000	159800000	gpos75	q
chr2	159800000	163700000	gneg	q
chr2	163700000	169700000	gpos75	q
chr2	169700000	178000000	gneg	q
chr2	178000000	180600000	gpos50	q
chr2	180600000	183000000	gneg	q
chr2	183000000	189400000	gpos75	q
chr2	189400000	191900000	gneg	q
chr2	191900000	197400000	gpos75	q
chr2	197400000	203300000	gneg	q
chr2	203300000	204900000	gpos50	q
chr2	204900000	209000000	gneg	q
chr2	209000000	215300000	gpos100	q
chr2	215300000	221500000	gneg	q
chr2	221500000	225200000	gpos75	q
chr2	225200000	226100000	gneg	q
chr2	226100000	231000000	gpos100	q
chr2	231000000	235600000	gneg	q
chr2	235600000	237300000	gpos50	q
chr2	237300000	243199373	gneg	q
chr3	0	2800000	gpos50	p
chr3	2800000	4000000	gneg	p
chr3	4000000	8700000	gpos50	p
chr3	8700000	11800000	gneg	p
chr3	11800000	13300000	gpos25	p
chr3	13300000	16400000	gneg	p
chr3	16400000	23900000	gpos100	p
chr3	23900000	26400000	gneg	p
chr3	26400000	30900000	gpos75	p
chr3	30900000	32100000	gneg	p
chr3	32100000	36500000	gpos50	p
chr3	36500000	39400000	gneg	p
chr3	39400000	43700000	gpos75	p
chr3	43700000	44100000	gneg	p
chr3	44100000	44200000	gpos50	p
chr3	44200000	50600000	gneg	p
chr3	50600000	52300000	gpos25	p
chr3	52300000	54400000	gneg	p
chr3	54400000	58600000	gpos50	p
chr3	58600000	63700000	gneg	p
chr3	63700000	69800000	gpos50	p
chr3	69800000	74200000	gneg	p
chr3	74200000	79800000	gpos75	p
chr3	79800000	83500000	gneg	p
chr3	83500000	87200000	gpos75	p
chr3	87200000	87900000	gneg	p
chr3	87900000	91000000	acen	p
chr3	91000000	93900000	acen	q
chr3	93900000	98300000	gvar	q
chr3	98300000	100000000	gneg	q
chr3	100000000	100900000	gpos25	q
chr3	100900000	102800000	gneg	q
chr3	102800000	106200000	gpos75	q
chr3	106200000	107900000	gneg	q
chr3	107900000	111300000	gpos50	q
chr3	111300000	113500000	gneg	q
chr3	113500000	117300000	gpos75	q
chr3	117300000	119000000	gneg	q
chr3	119000000	121900000	gpos75	q
chr3	121900000	123800000	gneg	q
chr3	123800000	125800000	gpos25	q
chr3	125800000	129200000	gneg	q
chr3	129200000	133700000	gpos25	q
chr3	133700000	135700000	gneg	q
chr3	135700000	138700000	gpos25	q
chr3	138700000	142800000	gneg	q
chr3	142800000	148900000	gpos100	q
chr3	148900000	152100000	gneg	q
chr3	152100000	155000000	gpos50	q
chr3	155000000	157000000	gneg	q
chr3	157000000	159000000	gpos50	q
chr3	159000000	160700000	gneg	q
chr3	160700000	167600000	gpos100	q
chr3	167600000	170900000	gneg	q
chr3	170900000	175700000	gpos75	q
chr3	175700000	179000000	gneg	q
chr3	179000000	182700000	gpos75	q
chr3	182700000	184500000	gneg	q
chr3	184500000	186000000	gpos25	q
chr3	186000000	187900000	gneg	q
chr3	187900000	192300000	gpos75	q
chr3	192300000	198022430	gneg	q
chr4	0	4500000	gneg	p
chr4	4500000	6000000	gpos25	p
chr4	6000000	11300000	gneg	p
chr4	11300000	15200000	gpos50	p
chr4	15200000	17800000	gneg	p
chr4	17800000	21300000	gpos75	p
chr4	21300000	27700000	gneg	p
chr4	27700000	35800000	gpos100	p
chr4	35800000	41200000	gneg	p
chr4	41200000	44600000	gpos50	p
chr4	44600000	48200000	gneg	p
chr4	48200000	50400000	acen	p
chr4	50400000	52700000	acen	q
chr4	52700000	59500000	gneg	q
chr4	59500000	66600000	gpos100	q
chr4	66600000	70500000	gneg	q
chr4	70500000	76300000	gpos75	q
chr4	76300000	78900000	gneg	q
chr4	78900000	82400000	gpos50	q
chr4	82400000	84100000	gneg	q
chr4	84100000	86900000	gpos25	q
chr4	86900000	88000000	gneg	q
chr4	88000000	93700000	gpos75	q
chr4	93700000	95100000	gneg	q
chr4	95100000	98800000	gpos75	q
chr4	98800000	101100000	gneg	q
chr4	101100000	107700000	gpos50	q
chr4	107700000	114100000	gneg	q
chr4	114100000	120800000	gpos75	q
chr4	120800000	123800000	gneg	q
chr4	123800000	128800000	gpos50	q
chr4	128800000	131100000	gneg	q
chr4	131100000	139500000	gpos100	q
chr4	139500000	141500000	gneg	q
chr4	141500000	146800000	gpos25	q
chr4	146800000	148500000	gneg	q
chr4	148500000	151100000	gpos25	q
chr4	151100000	155600000	gneg	q
chr4	155600000	161800000	gpos100	q
chr4	161800000	164500000	gneg	q
chr4	164500000	170100000	gpos100	q
chr4	170100000	171900000	gneg	q
chr4	171900000	176300000	gpos75	q
chr4	176300000	177500000	gneg	q
chr4	177500000	183200000	gpos100	q
chr4	183200000	187100000	gneg	q
chr4	187100000	191154276	gpos25	q
chr5	0	4500000	gneg	p
chr5	4500000	6300000	gpos25	p
chr5	6300000	9800000	gneg	p
chr5	9800000	15000000	gpos50	p
chr5	15000000	18400000	gneg	p
chr5	18400000	23300000	gpos100	p
chr5	23300000	24600000	gneg	p
chr5	24600000	28900000	gpos100	p
chr5	28900000	33800000	gneg	p
chr5	33800000	38400000	gpos25	p
chr5	38400000	42500000	gneg	p
chr5	42500000	46100000	gpos50	p
chr5	46100000	48400000	acen	p
chr5	48400000	50700000	acen	q
chr5	50700000	58900000	gneg	q
chr5	58900000	62900000	gpos75	q
chr5	62900000	63200000	gneg	q
chr5	63200000	66700000	gpos75	q
chr5	66700000	68400000	gneg	q
chr5	68400000	73300000	gpos50	q
chr5	73300000	76900000	gneg	q
chr5	76900000	81400000	gpos50	q
chr5	81400000	82800000	gneg	q
chr5	82800000	92300000	gpos100	q
chr5	92300000	98200000	gneg	q
chr5	98200000	102800000	gpos100	q
chr5	102800000	104500000	gneg	q
chr5	104500000	109600000	gpos100	q
chr5	109600000	111500000	gneg	q
chr5	111500000	113100000	gpos50	q
chr5	113100000	115200000	gneg	q
chr5	115200000	121400000	gpos100	q
chr5	121400000	127300000	gneg	q
chr5	127300000	130600000	gpos100	q
chr5	130600000	136200000	gneg	q
chr5	136200000	139500000	gpos25	q
chr5	139500000	144500000	gneg	q
chr5	144500000	149800000	gpos75	q
chr5	149800000	152700000	gneg	q
chr5	152700000	155700000	gpos50	q
chr5	155700000	159900000	gneg	q
chr5	159900000	168500000	gpos100	q
chr5	168500000	172800000	gneg	q
chr5	172800000	176600000	gpos25	q
chr5	176600000	180915260	gneg	q
chr6	0	2300000	gneg	p
chr6	2300000	4200000	gpos25	p
chr6	4200000	7100000	gneg	p
chr6	7100000	10600000	gpos50	p
chr6	10600000	11600000	gneg	p
chr6	11600000	13400000	gpos25	p
chr6	13400000	15200000	gneg	p
chr6	15200000	25200000	gpos75	p
chr6	25200000	27000000	gneg	p
chr6	27000000	30400000	gpos50	p
chr6	30400000	32100000	gneg	p
chr6	32100000	33500000	gpos25	p
chr6	33500000	36600000	gneg	p
chr6	36600000	40500000	gpos25	p
chr6	40500000	46200000	gneg	p
chr6	46200000	51800000	gpos100	p
chr6	51800000	52900000	gneg	p
chr6	52900000	57000000	gpos100	p
chr6	57000000	58700000	gneg	p
chr6	58700000	61000000	acen	p
chr6	61000000	63300000	acen	q
chr6	63300000	63400000	gneg	q
chr6	63400000	70000000	gpos100	q
chr6	70000000	75900000	gneg	q
chr6	75900000	83900000	gpos50	q
chr6	83900000	84900000	gneg	q
chr6	84900000	88000000	gpos50	q
chr6	88000000	93100000	gneg	q
chr6	93100000	99500000	gpos100	q
chr6	99500000	100600000	gneg	q
chr6	100600000	105500000	gpos100	q
chr6	105500000	114600000	gneg	q
chr6	114600000	118300000	gpos75	q
chr6	118300000	118500000	gneg	q
chr6	118500000	126100000	gpos100	q
chr6	126100000	127100000	gneg	q
chr6	127100000	130300000	gpos75	q
chr6	130300000	131200000	gneg	q
chr6	131200000	135200000	gpos50	q
chr6	135200000	139000000	gneg	q
chr6	139000000	142800000	gpos75	q
chr6	142800000	145600000	gneg	q
chr6	145600000	149000000	gpos75	q
chr6	149000000	152500000	gneg	q
chr6	152500000	155500000	gpos50	q
chr6	155500000	161000000	gneg	q
chr6	161000000	164500000	gpos50	q
chr6	164500000	171115067	gneg	q
